"","trial_no","condition","block_no","id","closeness"
"115",1,"decay",2,"saulin_01_vp_27",95
"116",1,"decay",2,"saulin_01_vp_29",70
"117",1,"decay",2,"saulin_01_vp_30",90
"118",1,"decay",2,"saulin_01_vp_31",15
"119",1,"decay",2,"saulin_01_vp_32",40
"120",1,"decay",2,"saulin_01_vp_33",60
"121",1,"decay",2,"saulin_01_vp_34",13
"122",1,"decay",2,"saulin_01_vp_35",85
"123",1,"decay",2,"saulin_01_vp_36",95
"124",1,"decay",2,"saulin_01_vp_37",70
"125",1,"decay",2,"saulin_01_vp_38",45
"126",1,"decay",2,"saulin_01_vp_39",65
"127",1,"decay",2,"saulin_01_vp_40",85
"128",1,"decay",2,"saulin_01_vp_41",43
"129",1,"decay",2,"saulin_01_vp_42",65
"130",1,"decay",2,"saulin_01_vp_43",65
"131",1,"decay",2,"saulin_01_vp_44",45
"132",1,"decay",2,"saulin_01_vp_45",70
"133",1,"decay",2,"saulin_01_vp_46",76
"134",1,"decay",2,"saulin_01_vp_47",46
"135",1,"decay",2,"saulin_01_vp_48",35
"136",1,"decay",2,"saulin_01_vp_49",60
"137",1,"decay",2,"saulin_01_vp_50",85
"138",1,"decay",2,"saulin_01_vp_51",100
"139",1,"decay",4,"saulin_01_vp_01",23
"140",1,"decay",4,"saulin_01_vp_02",55
"141",1,"decay",4,"saulin_01_vp_03",25
"142",1,"decay",4,"saulin_01_vp_04",30
"143",1,"decay",4,"saulin_01_vp_05",75
"144",1,"decay",4,"saulin_01_vp_06",61
"145",1,"decay",4,"saulin_01_vp_10",65
"146",1,"decay",4,"saulin_01_vp_11",60
"147",1,"decay",4,"saulin_01_vp_12",80
"148",1,"decay",4,"saulin_01_vp_14",60
"149",1,"decay",4,"saulin_01_vp_15",45
"150",1,"decay",4,"saulin_01_vp_16",90
"151",1,"decay",4,"saulin_01_vp_17",80
"152",1,"decay",4,"saulin_01_vp_18",75
"153",1,"decay",4,"saulin_01_vp_19",45
"154",1,"decay",4,"saulin_01_vp_20",31
"155",1,"decay",4,"saulin_01_vp_21",40
"156",1,"decay",4,"saulin_01_vp_22",60
"157",1,"decay",4,"saulin_01_vp_23",36
"158",1,"decay",4,"saulin_01_vp_24",50
"159",1,"decay",4,"saulin_01_vp_25",53
"160",1,"decay",4,"saulin_01_vp_26",70
"161",1,"decay",4,"saulin_01_vp_27",70
"162",1,"decay",4,"saulin_01_vp_29",65
"163",1,"decay",4,"saulin_01_vp_30",88
"164",1,"decay",4,"saulin_01_vp_31",20
"165",1,"decay",4,"saulin_01_vp_32",35
"166",1,"decay",4,"saulin_01_vp_33",40
"167",1,"decay",4,"saulin_01_vp_34",20
"168",1,"decay",4,"saulin_01_vp_35",65
"169",1,"decay",4,"saulin_01_vp_36",85
"170",1,"decay",4,"saulin_01_vp_37",61
"171",1,"decay",4,"saulin_01_vp_38",35
"172",1,"decay",4,"saulin_01_vp_39",70
"173",1,"decay",4,"saulin_01_vp_40",75
"174",1,"decay",4,"saulin_01_vp_41",40
"175",1,"decay",4,"saulin_01_vp_42",58
"176",1,"decay",4,"saulin_01_vp_43",46
"177",1,"decay",4,"saulin_01_vp_44",38
"178",1,"decay",4,"saulin_01_vp_45",43
"179",1,"decay",4,"saulin_01_vp_46",78
"180",1,"decay",4,"saulin_01_vp_47",45
"181",1,"decay",4,"saulin_01_vp_48",55
"182",1,"decay",4,"saulin_01_vp_49",50
"183",1,"decay",4,"saulin_01_vp_50",75
"184",1,"decay",4,"saulin_01_vp_51",100
"185",10,"control",2,"saulin_01_vp_01",30
"186",10,"control",2,"saulin_01_vp_02",60
"187",10,"control",2,"saulin_01_vp_03",50
"188",10,"control",2,"saulin_01_vp_04",40
"189",10,"control",2,"saulin_01_vp_05",55
"190",10,"control",2,"saulin_01_vp_06",45
"191",10,"control",2,"saulin_01_vp_10",80
"192",10,"control",2,"saulin_01_vp_11",31
"193",10,"control",2,"saulin_01_vp_12",75
"194",10,"control",2,"saulin_01_vp_14",68
"195",10,"control",2,"saulin_01_vp_15",45
"196",10,"control",2,"saulin_01_vp_16",80
"197",10,"control",2,"saulin_01_vp_17",70
"198",10,"control",2,"saulin_01_vp_18",55
"199",10,"control",2,"saulin_01_vp_19",48
"200",10,"control",2,"saulin_01_vp_20",40
"201",10,"control",2,"saulin_01_vp_21",56
"202",10,"control",2,"saulin_01_vp_22",55
"203",10,"control",2,"saulin_01_vp_23",35
"204",10,"control",2,"saulin_01_vp_24",50
"205",10,"control",2,"saulin_01_vp_25",40
"206",10,"control",2,"saulin_01_vp_26",45
"207",10,"control",2,"saulin_01_vp_27",60
"208",10,"control",2,"saulin_01_vp_29",70
"209",10,"control",2,"saulin_01_vp_30",90
"210",10,"control",2,"saulin_01_vp_31",21
"211",10,"control",2,"saulin_01_vp_32",50
"212",10,"control",2,"saulin_01_vp_33",45
"213",10,"control",2,"saulin_01_vp_34",30
"214",10,"control",2,"saulin_01_vp_35",40
"215",10,"control",2,"saulin_01_vp_36",90
"216",10,"control",2,"saulin_01_vp_37",45
"217",10,"control",2,"saulin_01_vp_38",48
"218",10,"control",2,"saulin_01_vp_39",53
"219",10,"control",2,"saulin_01_vp_40",80
"220",10,"control",2,"saulin_01_vp_41",0
"221",10,"control",2,"saulin_01_vp_42",80
"222",10,"control",2,"saulin_01_vp_43",60
"223",10,"control",2,"saulin_01_vp_44",40
"224",10,"control",2,"saulin_01_vp_45",80
"225",10,"control",2,"saulin_01_vp_46",75
"226",10,"control",2,"saulin_01_vp_47",50
"227",10,"control",2,"saulin_01_vp_48",25
"228",10,"control",2,"saulin_01_vp_49",60
"229",10,"control",2,"saulin_01_vp_50",51
"230",10,"control",2,"saulin_01_vp_51",96
"231",10,"control",4,"saulin_01_vp_01",25
"232",10,"control",4,"saulin_01_vp_02",63
"233",10,"control",4,"saulin_01_vp_03",60
"234",10,"control",4,"saulin_01_vp_04",40
"235",10,"control",4,"saulin_01_vp_05",55
"236",10,"control",4,"saulin_01_vp_06",40
"237",10,"control",4,"saulin_01_vp_10",70
"238",10,"control",4,"saulin_01_vp_11",35
"239",10,"control",4,"saulin_01_vp_12",70
"240",10,"control",4,"saulin_01_vp_14",76
"241",10,"control",4,"saulin_01_vp_15",45
"242",10,"control",4,"saulin_01_vp_16",90
"243",10,"control",4,"saulin_01_vp_17",75
"244",10,"control",4,"saulin_01_vp_18",70
"245",10,"control",4,"saulin_01_vp_19",40
"246",10,"control",4,"saulin_01_vp_20",20
"247",10,"control",4,"saulin_01_vp_21",43
"248",10,"control",4,"saulin_01_vp_22",55
"249",10,"control",4,"saulin_01_vp_23",35
"250",10,"control",4,"saulin_01_vp_24",25
"251",10,"control",4,"saulin_01_vp_25",50
"252",10,"control",4,"saulin_01_vp_26",30
"253",10,"control",4,"saulin_01_vp_27",55
"254",10,"control",4,"saulin_01_vp_29",65
"255",10,"control",4,"saulin_01_vp_30",90
"256",10,"control",4,"saulin_01_vp_31",20
"257",10,"control",4,"saulin_01_vp_32",45
"258",10,"control",4,"saulin_01_vp_33",38
