"","trial_no","condition","block_no","id","closeness"
"119",2,"empathy_control",2,"md_as_23",14
"120",2,"empathy_control",2,"md_as_24",18
"121",2,"empathy_control",2,"md_as_25",43
"122",2,"empathy_control",2,"md_as_26",42
"123",2,"empathy_control",2,"md_as_27",20
"124",2,"empathy_control",2,"md_as_28",17
"125",2,"empathy_control",2,"md_as_29",51
"126",2,"empathy_control",2,"md_as_39",14
"127",2,"empathy_control",2,"md_as_43",27
"128",2,"empathy_control",2,"md_as_44",36
"129",2,"empathy_control",2,"md_as_45",60
"130",2,"empathy_control",2,"md_as_46",63
"131",2,"empathy_control",2,"md_as_51",49
"132",2,"empathy_control",2,"md_as_56",24
"133",2,"empathy_control",2,"md_as_57",63
"134",2,"empathy_control",2,"md_as_58",3
"135",2,"empathy_control",2,"md_as_59",16
"136",2,"empathy_control",4,"md_as_01",57
"137",2,"empathy_control",4,"md_as_02",63
"138",2,"empathy_control",4,"md_as_04",31
"139",2,"empathy_control",4,"md_as_05",67
"140",2,"empathy_control",4,"md_as_06",56
"141",2,"empathy_control",4,"md_as_07",84
"142",2,"empathy_control",4,"md_as_08",53
"143",2,"empathy_control",4,"md_as_09",70
"144",2,"empathy_control",4,"md_as_10",41
"145",2,"empathy_control",4,"md_as_11",74
"146",2,"empathy_control",4,"md_as_23",13
"147",2,"empathy_control",4,"md_as_24",16
"148",2,"empathy_control",4,"md_as_25",58
"149",2,"empathy_control",4,"md_as_26",52
"150",2,"empathy_control",4,"md_as_27",47
"151",2,"empathy_control",4,"md_as_28",49
"152",2,"empathy_control",4,"md_as_29",37
"153",2,"empathy_control",4,"md_as_39",22
"154",2,"empathy_control",4,"md_as_43",24
"155",2,"empathy_control",4,"md_as_44",40
"156",2,"empathy_control",4,"md_as_45",58
"157",2,"empathy_control",4,"md_as_46",69
"158",2,"empathy_control",4,"md_as_51",59
"159",2,"empathy_control",4,"md_as_56",31
"160",2,"empathy_control",4,"md_as_57",57
"161",2,"empathy_control",4,"md_as_58",49
"162",2,"empathy_control",4,"md_as_59",12
"163",2,"empathy_decay",2,"md_as_01",32
"164",2,"empathy_decay",2,"md_as_02",55
"165",2,"empathy_decay",2,"md_as_04",24
"166",2,"empathy_decay",2,"md_as_05",33
"167",2,"empathy_decay",2,"md_as_06",39
"168",2,"empathy_decay",2,"md_as_07",88
"169",2,"empathy_decay",2,"md_as_08",48
"170",2,"empathy_decay",2,"md_as_09",48
"171",2,"empathy_decay",2,"md_as_10",37
"172",2,"empathy_decay",2,"md_as_11",74
"173",2,"empathy_decay",2,"md_as_23",10
"174",2,"empathy_decay",2,"md_as_24",35
"175",2,"empathy_decay",2,"md_as_25",13
"176",2,"empathy_decay",2,"md_as_26",53
"177",2,"empathy_decay",2,"md_as_27",31
"178",2,"empathy_decay",2,"md_as_28",0
"179",2,"empathy_decay",2,"md_as_29",59
"180",2,"empathy_decay",2,"md_as_39",12
"181",2,"empathy_decay",2,"md_as_43",40
"182",2,"empathy_decay",2,"md_as_44",32
"183",2,"empathy_decay",2,"md_as_45",65
"184",2,"empathy_decay",2,"md_as_46",76
"185",2,"empathy_decay",2,"md_as_51",63
"186",2,"empathy_decay",2,"md_as_56",39
"187",2,"empathy_decay",2,"md_as_57",60
"188",2,"empathy_decay",2,"md_as_58",64
"189",2,"empathy_decay",2,"md_as_59",14
"190",2,"empathy_decay",4,"md_as_01",40
"191",2,"empathy_decay",4,"md_as_02",46
"192",2,"empathy_decay",4,"md_as_04",29
"193",2,"empathy_decay",4,"md_as_05",39
"194",2,"empathy_decay",4,"md_as_06",55
"195",2,"empathy_decay",4,"md_as_07",83
"196",2,"empathy_decay",4,"md_as_08",37
"197",2,"empathy_decay",4,"md_as_09",86
"198",2,"empathy_decay",4,"md_as_10",43
"199",2,"empathy_decay",4,"md_as_11",68
"200",2,"empathy_decay",4,"md_as_23",20
"201",2,"empathy_decay",4,"md_as_24",33
"202",2,"empathy_decay",4,"md_as_25",41
"203",2,"empathy_decay",4,"md_as_26",49
"204",2,"empathy_decay",4,"md_as_27",38
"205",2,"empathy_decay",4,"md_as_28",20
"206",2,"empathy_decay",4,"md_as_29",56
"207",2,"empathy_decay",4,"md_as_39",23
"208",2,"empathy_decay",4,"md_as_43",43
"209",2,"empathy_decay",4,"md_as_44",20
"210",2,"empathy_decay",4,"md_as_45",58
"211",2,"empathy_decay",4,"md_as_46",78
"212",2,"empathy_decay",4,"md_as_51",58
"213",2,"empathy_decay",4,"md_as_56",40
"214",2,"empathy_decay",4,"md_as_57",52
"215",2,"empathy_decay",4,"md_as_58",69
"216",2,"empathy_decay",4,"md_as_59",19
"217",3,"empathy_control",2,"md_as_01",51
"218",3,"empathy_control",2,"md_as_02",56
"219",3,"empathy_control",2,"md_as_04",28
"220",3,"empathy_control",2,"md_as_05",48
"221",3,"empathy_control",2,"md_as_06",36
"222",3,"empathy_control",2,"md_as_07",67
"223",3,"empathy_control",2,"md_as_08",35
"224",3,"empathy_control",2,"md_as_09",75
"225",3,"empathy_control",2,"md_as_10",48
"226",3,"empathy_control",2,"md_as_11",54
"227",3,"empathy_control",2,"md_as_23",19
"228",3,"empathy_control",2,"md_as_24",20
"229",3,"empathy_control",2,"md_as_25",33
"230",3,"empathy_control",2,"md_as_26",37
"231",3,"empathy_control",2,"md_as_27",18
"232",3,"empathy_control",2,"md_as_28",49
"233",3,"empathy_control",2,"md_as_29",35
"234",3,"empathy_control",2,"md_as_39",11
"235",3,"empathy_control",2,"md_as_43",27
"236",3,"empathy_control",2,"md_as_44",42
"237",3,"empathy_control",2,"md_as_45",60
"238",3,"empathy_control",2,"md_as_46",69
"239",3,"empathy_control",2,"md_as_51",48
"240",3,"empathy_control",2,"md_as_56",30
"241",3,"empathy_control",2,"md_as_57",60
"242",3,"empathy_control",2,"md_as_58",45
"243",3,"empathy_control",2,"md_as_59",18
"244",3,"empathy_control",4,"md_as_01",42
"245",3,"empathy_control",4,"md_as_02",52
"246",3,"empathy_control",4,"md_as_04",35
"247",3,"empathy_control",4,"md_as_05",78
"248",3,"empathy_control",4,"md_as_06",52
"249",3,"empathy_control",4,"md_as_07",62
"250",3,"empathy_control",4,"md_as_08",48
"251",3,"empathy_control",4,"md_as_09",82
"252",3,"empathy_control",4,"md_as_10",47
"253",3,"empathy_control",4,"md_as_11",76
"254",3,"empathy_control",4,"md_as_23",12
"255",3,"empathy_control",4,"md_as_24",10
"256",3,"empathy_control",4,"md_as_25",51
"257",3,"empathy_control",4,"md_as_26",55
"258",3,"empathy_control",4,"md_as_27",46
"259",3,"empathy_control",4,"md_as_28",54
"260",3,"empathy_control",4,"md_as_29",53
"261",3,"empathy_control",4,"md_as_39",25
"262",3,"empathy_control",4,"md_as_43",24
"263",3,"empathy_control",4,"md_as_44",47
"264",3,"empathy_control",4,"md_as_45",72
"265",3,"empathy_control",4,"md_as_46",75
"266",3,"empathy_control",4,"md_as_51",59
"267",3,"empathy_control",4,"md_as_56",49
"268",3,"empathy_control",4,"md_as_57",61
"269",3,"empathy_control",4,"md_as_58",60
"270",3,"empathy_control",4,"md_as_59",14
"271",3,"empathy_decay",2,"md_as_01",32
"272",3,"empathy_decay",2,"md_as_02",49
"273",3,"empathy_decay",2,"md_as_04",31
"274",3,"empathy_decay",2,"md_as_05",34
"275",3,"empathy_decay",2,"md_as_06",26
"276",3,"empathy_decay",2,"md_as_07",77
"277",3,"empathy_decay",2,"md_as_08",44
"278",3,"empathy_decay",2,"md_as_09",79
"279",3,"empathy_decay",2,"md_as_10",39
"280",3,"empathy_decay",2,"md_as_11",64
"281",3,"empathy_decay",2,"md_as_23",35
"282",3,"empathy_decay",2,"md_as_24",44
"283",3,"empathy_decay",2,"md_as_25",28
"284",3,"empathy_decay",2,"md_as_26",35
"285",3,"empathy_decay",2,"md_as_27",29
"286",3,"empathy_decay",2,"md_as_28",0
"287",3,"empathy_decay",2,"md_as_29",3
"288",3,"empathy_decay",2,"md_as_39",10
"289",3,"empathy_decay",2,"md_as_43",42
"290",3,"empathy_decay",2,"md_as_44",55
"291",3,"empathy_decay",2,"md_as_45",70
"292",3,"empathy_decay",2,"md_as_46",40
"293",3,"empathy_decay",2,"md_as_51",57
"294",3,"empathy_decay",2,"md_as_56",45
"295",3,"empathy_decay",2,"md_as_57",50
"296",3,"empathy_decay",2,"md_as_58",30
"297",3,"empathy_decay",2,"md_as_59",15
"298",3,"empathy_decay",4,"md_as_01",46
"299",3,"empathy_decay",4,"md_as_02",59
"300",3,"empathy_decay",4,"md_as_04",30
"301",3,"empathy_decay",4,"md_as_05",72
"302",3,"empathy_decay",4,"md_as_06",50
"303",3,"empathy_decay",4,"md_as_07",82
"304",3,"empathy_decay",4,"md_as_08",55
"305",3,"empathy_decay",4,"md_as_09",70
"306",3,"empathy_decay",4,"md_as_10",49
"307",3,"empathy_decay",4,"md_as_11",60
"308",3,"empathy_decay",4,"md_as_23",22
"309",3,"empathy_decay",4,"md_as_24",29
"310",3,"empathy_decay",4,"md_as_25",53
"311",3,"empathy_decay",4,"md_as_26",55
"312",3,"empathy_decay",4,"md_as_27",41
"313",3,"empathy_decay",4,"md_as_28",29
"314",3,"empathy_decay",4,"md_as_29",30
"315",3,"empathy_decay",4,"md_as_39",27
"316",3,"empathy_decay",4,"md_as_43",43
"317",3,"empathy_decay",4,"md_as_44",18
"318",3,"empathy_decay",4,"md_as_45",60
"319",3,"empathy_decay",4,"md_as_46",81
"320",3,"empathy_decay",4,"md_as_51",59
"321",3,"empathy_decay",4,"md_as_56",53
"322",3,"empathy_decay",4,"md_as_57",51
"323",3,"empathy_decay",4,"md_as_58",68
"324",3,"empathy_decay",4,"md_as_59",17
"325",4,"empathy_control",2,"md_as_01",37
"326",4,"empathy_control",2,"md_as_02",61
"327",4,"empathy_control",2,"md_as_04",18
"328",4,"empathy_control",2,"md_as_05",75
"329",4,"empathy_control",2,"md_as_06",42
"330",4,"empathy_control",2,"md_as_07",64
"331",4,"empathy_control",2,"md_as_08",54
"332",4,"empathy_control",2,"md_as_09",60
"333",4,"empathy_control",2,"md_as_10",42
"334",4,"empathy_control",2,"md_as_11",61
"335",4,"empathy_control",2,"md_as_23",17
"336",4,"empathy_control",2,"md_as_24",26
"337",4,"empathy_control",2,"md_as_25",74
"338",4,"empathy_control",2,"md_as_26",54
"339",4,"empathy_control",2,"md_as_27",27
"340",4,"empathy_control",2,"md_as_28",23
"341",4,"empathy_control",2,"md_as_29",52
"342",4,"empathy_control",2,"md_as_39",15
"343",4,"empathy_control",2,"md_as_43",26
"344",4,"empathy_control",2,"md_as_44",42
"345",4,"empathy_control",2,"md_as_45",63
"346",4,"empathy_control",2,"md_as_46",76
"347",4,"empathy_control",2,"md_as_51",48
"348",4,"empathy_control",2,"md_as_56",32
"349",4,"empathy_control",2,"md_as_57",60
"350",4,"empathy_control",2,"md_as_58",46
"351",4,"empathy_control",2,"md_as_59",17
"352",4,"empathy_control",4,"md_as_01",41
