"","condition","block_no","trial_no","trial_type","rt","emotion_rating","id","closeness","betas_PM_wtreatMINcon_TPJ","betas_PM_wtreatMINcon_IFG","facet","score"
"39","treatment","block 1",20,"1","2338",-0.963092914591143,"saulin_01_vp_01",1.38936426937443,0.096226,-0.019863,"EC",1.10766324611516
"40","treatment","block 1",20,"1","2338",-0.963092914591143,"saulin_01_vp_01",1.38936426937443,0.096226,-0.019863,"PT",0.699097381718325
"41","treatment","block 1",21,"2","5536",-0.658229787767959,"saulin_01_vp_01",1.38936426937443,0.096226,-0.019863,"EC",1.10766324611516
"42","treatment","block 1",21,"2","5536",-0.658229787767959,"saulin_01_vp_01",1.38936426937443,0.096226,-0.019863,"PT",0.699097381718325
"43","treatment","block 1",22,"1","4427",-0.745333538288869,"saulin_01_vp_01",0.907371792989413,0.096226,-0.019863,"EC",1.10766324611516
"44","treatment","block 1",22,"1","4427",-0.745333538288869,"saulin_01_vp_01",0.907371792989413,0.096226,-0.019863,"PT",0.699097381718325
"45","treatment","block 1",23,"1","3586",-0.963092914591143,"saulin_01_vp_01",0.618176307158405,0.096226,-0.019863,"EC",1.10766324611516
"46","treatment","block 1",23,"1","3586",-0.963092914591143,"saulin_01_vp_01",0.618176307158405,0.096226,-0.019863,"PT",0.699097381718325
"47","treatment","block 1",24,"1","4522",-1.18085229089342,"saulin_01_vp_01",1.58216125992843,0.096226,-0.019863,"EC",1.10766324611516
"48","treatment","block 1",24,"1","4522",-1.18085229089342,"saulin_01_vp_01",1.58216125992843,0.096226,-0.019863,"PT",0.699097381718325
"49","treatment","block 1",25,"1","5582",-0.963092914591143,"saulin_01_vp_01",1.38936426937443,0.096226,-0.019863,"EC",1.10766324611516
"50","treatment","block 1",25,"1","5582",-0.963092914591143,"saulin_01_vp_01",1.38936426937443,0.096226,-0.019863,"PT",0.699097381718325
"51","treatment","block 1",1,"1","3525",0.12570396692023,"saulin_01_vp_02",0.039785335496389,0.62036,0.52128,"EC",0.71871279328083
"52","treatment","block 1",1,"1","3525",0.12570396692023,"saulin_01_vp_02",0.039785335496389,0.62036,0.52128,"PT",1.02068217730876
"53","treatment","block 1",2,"2","3512",0.12570396692023,"saulin_01_vp_02",-0.29760939797312,0.62036,0.52128,"EC",0.71871279328083
"54","treatment","block 1",2,"2","3512",0.12570396692023,"saulin_01_vp_02",-0.29760939797312,0.62036,0.52128,"PT",1.02068217730876
