"","condition","block_no","trial_no","trial_type","rt","closeness","id","emotion_rating","closeness","pos_PNR"
"5780","treatment","block 1",21,"2",1980,76,"md_as_21",0.81335469014026,2.07499370030732,-1.47903462933819
"5787","treatment","block 1",22,"1",2426,96,"md_as_21",1.60859556045665,1.00195954873377,-1.47903462933819
"5794","treatment","block 1",23,"1",3690,100,"md_as_21",1.76764373451992,1.90330823605555,-1.47903462933819
"5801","treatment","block 1",24,"1",1966,97,"md_as_21",1.64835760397247,1.81746550392967,-1.47903462933819
"5808","treatment","block 1",25,"1",3787,98,"md_as_21",1.68811964748829,1.94622960211849,-1.47903462933819
"5816","treatment","block 2",1,"2",2636,45,"md_as_21",-0.41926865885014,1.38825184330025,-1.47903462933819
"5823","treatment","block 2",2,"1",1530,70,"md_as_21",0.574782429045344,0.959038182670827,-1.47903462933819
"5830","treatment","block 2",3,"2",1820,41,"md_as_21",-0.578316832913417,0.658588620230232,-1.47903462933819
"5837","treatment","block 2",4,"2",2629,36,"md_as_21",-0.777127050492514,0.443981789915522,-1.47903462933819
"5844","treatment","block 2",5,"2",2021,7,"md_as_21",-1.93022631245128,0.100610861411985,-1.47903462933819
"5851","treatment","block 2",6,"2",3411,0,"md_as_21",-2.20856061706201,-0.285681433154493,-1.47903462933819
"5858","treatment","block 2",7,"2",3424,0,"md_as_21",-2.20856061706201,-0.757816459846856,-1.47903462933819
"5865","treatment","block 2",8,"2",3259,0,"md_as_21",-2.20856061706201,-1.6162437811057,-1.47903462933819
"5872","treatment","block 2",9,"1",2537,32,"md_as_21",-0.936175224555791,-2.04545744173512,-1.47903462933819
"5879","treatment","block 2",10,"2",3852,26,"md_as_21",-1.17474748565071,-0.071074602839783,-1.47903462933819
"5886","treatment","block 2",11,"1",2582,49,"md_as_21",-0.260220484786862,-0.543209629532146,-1.47903462933819
"5893","treatment","block 2",12,"2",999,20,"md_as_21",-1.41331974674562,0.229374959600811,-1.47903462933819
"5900","treatment","block 2",13,"2",3376,17,"md_as_21",-1.53260587729308,-0.886580558035682,-1.47903462933819
"5907","treatment","block 2",14,"2",2285,0,"md_as_21",-2.20856061706201,-0.757816459846856,-1.47903462933819
"5914","treatment","block 2",15,"2",2306,7,"md_as_21",-1.93022631245128,-2.04545744173512,-1.47903462933819
"5921","treatment","block 2",16,"2",3351,9,"md_as_21",-1.85070222541964,-1.74500787929452,-1.47903462933819
"5928","treatment","block 2",17,"1",3143,31,"md_as_21",-0.975937268071611,-2.04545744173512,-1.47903462933819
"5935","treatment","block 2",18,"2",1870,22,"md_as_21",-1.33379565971398,-1.18703012047628,-1.47903462933819
"5942","treatment","block 2",19,"2",718,10,"md_as_21",-1.81094018190382,-1.22995148653922,-1.47903462933819
"5949","treatment","block 2",20,"2",2412,15,"md_as_21",-1.61212996432472,-1.91669334354629,-1.47903462933819
"5956","treatment","block 2",21,"1",1850,42,"md_as_21",-0.538554789397598,-1.74500787929452,-1.47903462933819
"5963","treatment","block 2",22,"2",1901,30,"md_as_21",-1.01569931158743,-0.757816459846856,-1.47903462933819
"5970","treatment","block 2",23,"2",1445,5,"md_as_21",-2.00975039948291,-1.18703012047628,-1.47903462933819
"5977","treatment","block 2",24,"2",2416,9,"md_as_21",-1.85070222541964,-1.74500787929452,-1.47903462933819
"5984","treatment","block 2",25,"2",2382,3,"md_as_21",-2.08927448651455,-1.6162437811057,-1.47903462933819
"5992","control","block 1",1,"1",1302,82,"md_as_21",1.05192695123518,0.358139057789638,-1.47903462933819
"5999","control","block 1",2,"2",2243,48,"md_as_21",-0.299982528302682,1.13072364692259,-1.47903462933819
"6006","control","block 1",3,"1",2124,80,"md_as_21",0.972402864203538,0.658588620230232,-1.47903462933819
"6013","control","block 1",4,"2",1952,44,"md_as_21",-0.459030702365959,1.04488091479671,-1.47903462933819
"6020","control","block 1",5,"1",927,64,"md_as_21",0.336210167950428,0.529824522041406,-1.47903462933819
"6027","control","block 1",6,"2",1585,37,"md_as_21",-0.737365006976694,0.61566725416729,-1.47903462933819
"6034","control","block 1",7,"1",2115,61,"md_as_21",0.21692403740297,0.443981789915522,-1.47903462933819
"6041","control","block 1",8,"2",1899,52,"md_as_21",-0.140934354239404,0.873195450544942,-1.47903462933819
"6048","control","block 1",9,"1",2202,62,"md_as_21",0.256686080918789,0.529824522041406,-1.47903462933819
"6055","control","block 1",10,"2",629,40,"md_as_21",-0.618078876429236,0.873195450544942,-1.47903462933819
"6062","control","block 1",11,"1",1060,66,"md_as_21",0.415734254982067,0.143532227474927,-1.47903462933819
"6069","control","block 1",12,"1",2459,78,"md_as_21",0.892878777171899,0.787352718419058,-1.47903462933819
"6076","control","block 1",13,"2",1061,74,"md_as_21",0.733830603108622,1.38825184330025,-1.47903462933819
"6083","control","block 1",14,"2",1747,46,"md_as_21",-0.37950661533432,1.21656637904848,-1.47903462933819
"6090","control","block 1",15,"1",993,74,"md_as_21",0.733830603108622,0.272296325663754,-1.47903462933819
"6097","control","block 1",16,"2",2361,47,"md_as_21",-0.339744571818501,0.959038182670827,-1.47903462933819
"6104","control","block 1",17,"1",1304,74,"md_as_21",0.733830603108622,0.100610861411985,-1.47903462933819
"6111","control","block 1",18,"1",707,90,"md_as_21",1.37002329936173,0.916116816607885,-1.47903462933819
"6118","control","block 1",19,"2",1502,36,"md_as_21",-0.777127050492514,1.25948774511142,-1.47903462933819
"6125","control","block 1",20,"2",2841,26,"md_as_21",-1.17474748565071,0.529824522041406,-1.47903462933819
"6132","control","block 1",21,"1",2381,79,"md_as_21",0.932640820687718,0.787352718419058,-1.47903462933819
"6139","control","block 1",22,"2",1484,54,"md_as_21",-0.0614102672077654,0.916116816607885,-1.47903462933819
"6146","control","block 1",23,"1",1531,71,"md_as_21",0.614544472561164,0.529824522041406,-1.47903462933819
"6153","control","block 1",24,"2",1597,37,"md_as_21",-0.737365006976694,1.00195954873377,-1.47903462933819
"6160","control","block 1",25,"2",1610,49,"md_as_21",-0.260220484786862,0.701509986293174,-1.47903462933819
"6168","control","block 2",1,"1",662,70,"md_as_21",0.574782429045344,0.186453593537869,-1.47903462933819
"6175","control","block 2",2,"2",1803,44,"md_as_21",-0.459030702365959,1.04488091479671,-1.47903462933819
"6182","control","block 2",3,"1",1634,60,"md_as_21",0.177161993887151,0.830274084482,-1.47903462933819
"6189","control","block 2",4,"2",1521,52,"md_as_21",-0.140934354239404,0.787352718419058,-1.47903462933819
"6196","control","block 2",5,"1",2871,73,"md_as_21",0.694068559592802,0.186453593537869,-1.47903462933819
"6203","control","block 2",6,"2",2782,42,"md_as_21",-0.538554789397598,0.658588620230232,-1.47903462933819
"6210","control","block 2",7,"1",897,60,"md_as_21",0.177161993887151,0.229374959600811,-1.47903462933819
"6217","control","block 2",8,"2",650,30,"md_as_21",-1.01569931158743,0.744431352356116,-1.47903462933819
"6224","control","block 2",9,"1",1690,68,"md_as_21",0.495258342013705,-0.457366897406262,-1.47903462933819
"6231","control","block 2",10,"2",1688,46,"md_as_21",-0.37950661533432,0.959038182670827,-1.47903462933819
"6238","control","block 2",11,"1",2940,76,"md_as_21",0.81335469014026,0.0576894953490432,-1.47903462933819
"6245","control","block 2",12,"1",1917,75,"md_as_21",0.773592646624441,0.787352718419058,-1.47903462933819
"6252","control","block 2",13,"1",2702,78,"md_as_21",0.892878777171899,0.959038182670827,-1.47903462933819
"6259","control","block 2",14,"2",1645,39,"md_as_21",-0.657840919945056,1.38825184330025,-1.47903462933819
"6266","control","block 2",15,"1",1860,75,"md_as_21",0.773592646624441,0.658588620230232,-1.47903462933819
"6273","control","block 2",16,"2",636,30,"md_as_21",-1.01569931158743,0.959038182670827,-1.47903462933819
"6280","control","block 2",17,"1",2854,73,"md_as_21",0.694068559592802,-0.199838701028609,-1.47903462933819
"6287","control","block 2",18,"1",944,60,"md_as_21",0.177161993887151,1.38825184330025,-1.47903462933819
"6294","control","block 2",19,"2",1535,26,"md_as_21",-1.17474748565071,0.744431352356116,-1.47903462933819
"6301","control","block 2",20,"2",794,30,"md_as_21",-1.01569931158743,0.272296325663754,-1.47903462933819
"6308","control","block 2",21,"1",668,60,"md_as_21",0.177161993887151,-0.757816459846856,-1.47903462933819
"6315","control","block 2",22,"2",1784,30,"md_as_21",-1.01569931158743,0.61566725416729,-1.47903462933819
"6322","control","block 2",23,"1",1673,84,"md_as_21",1.13145103826682,0.40106042385258,-1.47903462933819
"6329","control","block 2",24,"2",1423,30,"md_as_21",-1.01569931158743,1.51701594148907,-1.47903462933819
"6336","control","block 2",25,"2",1905,39,"md_as_21",-0.657840919945056,0.143532227474927,-1.47903462933819
"6344","treatment","block 1",1,"1",998,96,"md_as_22",1.60859556045665,-1.18703012047628,0.177211522409184
"6351","treatment","block 1",2,"2",2809,45,"md_as_22",-0.41926865885014,0.186453593537869,0.177211522409184
"6358","treatment","block 1",3,"1",3937,83,"md_as_22",1.091688994751,-0.757816459846856,0.177211522409184
"6365","treatment","block 1",4,"1",2793,94,"md_as_22",1.52907147342501,0.315217691726696,0.177211522409184
"6372","treatment","block 1",5,"1",4909,91,"md_as_22",1.40978534287755,0.529824522041406,0.177211522409184
"6379","treatment","block 1",6,"1",3641,96,"md_as_22",1.60859556045665,0.916116816607885,0.177211522409184
"6386","treatment","block 1",7,"1",906,96,"md_as_22",1.60859556045665,1.08780228085965,0.177211522409184
"6393","treatment","block 1",8,"1",2768,93,"md_as_22",1.48930942990919,0.787352718419058,0.177211522409184
"6400","treatment","block 1",9,"2",2855,46,"md_as_22",-0.37950661533432,1.04488091479671,0.177211522409184
"6407","treatment","block 1",10,"1",4586,77,"md_as_22",0.85311673365608,-0.328602799217435,0.177211522409184
"6414","treatment","block 1",11,"2",3946,51,"md_as_22",-0.180696397755224,0.272296325663754,0.177211522409184
"6421","treatment","block 1",12,"1",2538,85,"md_as_22",1.17121308178263,0.0576894953490432,0.177211522409184
"6428","treatment","block 1",13,"1",3342,81,"md_as_22",1.01216490771936,0.443981789915522,0.177211522409184
"6435","treatment","block 1",14,"1",4236,81,"md_as_22",1.01216490771936,1.04488091479671,0.177211522409184
"6442","treatment","block 1",15,"1",3600,72,"md_as_22",0.654306516076983,0.701509986293174,0.177211522409184
"6449","treatment","block 1",16,"1",2798,81,"md_as_22",1.01216490771936,0.873195450544942,0.177211522409184
"6456","treatment","block 1",17,"2",2211,53,"md_as_22",-0.101172310723585,0.443981789915522,0.177211522409184
"6463","treatment","block 1",18,"1",4380,63,"md_as_22",0.296448124434609,-1.6162437811057,0.177211522409184
"6470","treatment","block 1",19,"1",4570,88,"md_as_22",1.29049921233009,0.229374959600811,0.177211522409184
"6477","treatment","block 1",20,"1",1183,85,"md_as_22",1.17121308178263,1.08780228085965,0.177211522409184
"6484","treatment","block 1",21,"2",2952,48,"md_as_22",-0.299982528302682,1.17364501298554,0.177211522409184
"6491","treatment","block 1",22,"1",3498,71,"md_as_22",0.614544472561164,-0.543209629532146,0.177211522409184
"6498","treatment","block 1",23,"1",1224,96,"md_as_22",1.60859556045665,0.916116816607885,0.177211522409184
"6505","treatment","block 1",24,"1",2570,79,"md_as_22",0.932640820687718,1.17364501298554,0.177211522409184
"6512","treatment","block 1",25,"1",4810,89,"md_as_22",1.33026125584591,0.959038182670827,0.177211522409184
"6520","treatment","block 2",1,"2",3019,35,"md_as_22",-0.816889094008333,-0.41444553134332,0.177211522409184
"6527","treatment","block 2",2,"1",4323,75,"md_as_22",0.773592646624441,-0.41444553134332,0.177211522409184
"6534","treatment","block 2",3,"2",2863,52,"md_as_22",-0.140934354239404,0.315217691726696,0.177211522409184
"6541","treatment","block 2",4,"2",3468,37,"md_as_22",-0.737365006976694,-0.199838701028609,0.177211522409184
"6548","treatment","block 2",5,"2",2788,26,"md_as_22",-1.17474748565071,-0.285681433154493,0.177211522409184
"6555","treatment","block 2",6,"2",3250,40,"md_as_22",-0.618078876429236,-0.62905236165803,0.177211522409184
"6562","treatment","block 2",7,"2",2327,30,"md_as_22",-1.01569931158743,-0.586130995595088,0.177211522409184
"6569","treatment","block 2",8,"2",2950,32,"md_as_22",-0.936175224555791,-0.41444553134332,0.177211522409184
"6576","treatment","block 2",9,"1",2543,36,"md_as_22",-0.777127050492514,-0.929501924098624,0.177211522409184
"6583","treatment","block 2",10,"2",2765,40,"md_as_22",-0.618078876429236,0.443981789915522,0.177211522409184
"6590","treatment","block 2",11,"1",3901,66,"md_as_22",0.415734254982067,-0.156917334965667,0.177211522409184
"6597","treatment","block 2",12,"2",2039,31,"md_as_22",-0.975937268071611,-0.071074602839783,0.177211522409184
"6604","treatment","block 2",13,"2",2122,31,"md_as_22",-0.975937268071611,-0.757816459846856,0.177211522409184
"6611","treatment","block 2",14,"2",1995,21,"md_as_22",-1.3735577032298,-0.972423290161566,0.177211522409184
"6618","treatment","block 2",15,"2",5918,43,"md_as_22",-0.498792745881778,-0.972423290161566,0.177211522409184
"6625","treatment","block 2",16,"2",1175,29,"md_as_22",-1.05546135510325,-0.671973727720972,0.177211522409184
"6632","treatment","block 2",17,"1",4610,21,"md_as_22",-1.3735577032298,-0.84365919197274,0.177211522409184
"6639","treatment","block 2",18,"2",1290,11,"md_as_22",-1.771178138388,-1.22995148653922,0.177211522409184
"6646","treatment","block 2",19,"2",4473,20,"md_as_22",-1.41331974674562,-0.800737825909798,0.177211522409184
"6653","treatment","block 2",20,"2",3859,18,"md_as_22",-1.49284383377726,-1.18703012047628,0.177211522409184
"6660","treatment","block 2",21,"1",3623,48,"md_as_22",-0.299982528302682,-1.18703012047628,0.177211522409184
"6667","treatment","block 2",22,"2",2544,28,"md_as_22",-1.09522339861907,-0.071074602839783,0.177211522409184
"6674","treatment","block 2",23,"2",4182,23,"md_as_22",-1.29403361619817,-0.714895093783914,0.177211522409184
"6681","treatment","block 2",24,"2",3126,26,"md_as_22",-1.17474748565071,-1.10118738835039,0.177211522409184
"6688","treatment","block 2",25,"2",4306,13,"md_as_22",-1.69165405135636,-0.800737825909798,0.177211522409184
"6696","control","block 1",1,"1",3124,76,"md_as_22",0.81335469014026,-0.586130995595088,0.177211522409184
"6703","control","block 1",2,"2",2920,58,"md_as_22",0.097637906855512,-0.113995968902725,0.177211522409184
"6710","control","block 1",3,"1",2361,66,"md_as_22",0.415734254982067,-0.285681433154493,0.177211522409184
"6717","control","block 1",4,"2",4502,38,"md_as_22",-0.697602963460875,0.186453593537869,0.177211522409184
"6724","control","block 1",5,"1",1897,67,"md_as_22",0.455496298497886,-1.6162437811057,0.177211522409184
"6731","control","block 1",6,"2",3663,28,"md_as_22",-1.09522339861907,0.229374959600811,0.177211522409184
"6738","control","block 1",7,"1",3025,65,"md_as_22",0.375972211466247,-1.01534465622451,0.177211522409184
"6745","control","block 1",8,"2",1727,34,"md_as_22",-0.856651137524152,0.100610861411985,0.177211522409184
"6752","control","block 1",9,"1",1403,81,"md_as_22",1.01216490771936,-1.6162437811057,0.177211522409184
"6759","control","block 1",10,"2",2492,24,"md_as_22",-1.25427157268235,0.186453593537869,0.177211522409184
"6766","control","block 1",11,"1",2756,71,"md_as_22",0.614544472561164,-0.41444553134332,0.177211522409184
"6773","control","block 1",12,"1",1535,65,"md_as_22",0.375972211466247,0.272296325663754,0.177211522409184
"6780","control","block 1",13,"2",2927,35,"md_as_22",-0.816889094008333,0.272296325663754,0.177211522409184
"6787","control","block 1",14,"2",5735,31,"md_as_22",-0.975937268071611,-0.62905236165803,0.177211522409184
"6794","control","block 1",15,"1",3510,80,"md_as_22",0.972402864203538,-1.27287285260216,0.177211522409184
"6801","control","block 1",16,"2",3360,34,"md_as_22",-0.856651137524152,0.873195450544942,0.177211522409184
"6808","control","block 1",17,"1",2962,42,"md_as_22",-0.538554789397598,-0.156917334965667,0.177211522409184
"6815","control","block 1",18,"1",3175,65,"md_as_22",0.375972211466247,-0.242760067091551,0.177211522409184
"6822","control","block 1",19,"2",3039,47,"md_as_22",-0.339744571818501,-0.371524165280378,0.177211522409184
"6829","control","block 1",20,"2",3016,18,"md_as_22",-1.49284383377726,-0.156917334965667,0.177211522409184
"6836","control","block 1",21,"1",1533,77,"md_as_22",0.85311673365608,-1.01534465622451,0.177211522409184
"6843","control","block 1",22,"2",2403,37,"md_as_22",-0.737365006976694,0.358139057789638,0.177211522409184
"6850","control","block 1",23,"1",2780,62,"md_as_22",0.256686080918789,-0.671973727720972,0.177211522409184
"6857","control","block 1",24,"2",2660,39,"md_as_22",-0.657840919945056,0.40106042385258,0.177211522409184
"6864","control","block 1",25,"2",5476,30,"md_as_22",-1.01569931158743,-0.028153236776841,0.177211522409184
"6872","control","block 2",1,"1",1383,85,"md_as_22",1.17121308178263,-0.586130995595088,0.177211522409184
"6879","control","block 2",2,"2",1380,66,"md_as_22",0.415734254982067,0.0147681292861011,0.177211522409184
"6886","control","block 2",3,"1",2438,64,"md_as_22",0.336210167950428,-0.328602799217435,0.177211522409184
"6893","control","block 2",4,"2",2021,37,"md_as_22",-0.737365006976694,0.0147681292861011,0.177211522409184
"6900","control","block 2",5,"1",3151,52,"md_as_22",-0.140934354239404,-0.543209629532146,0.177211522409184
"6907","control","block 2",6,"2",4183,31,"md_as_22",-0.975937268071611,-0.242760067091551,0.177211522409184
"6914","control","block 2",7,"1",3915,64,"md_as_22",0.336210167950428,-0.328602799217435,0.177211522409184
"6921","control","block 2",8,"2",2486,31,"md_as_22",-0.975937268071611,0.143532227474927,0.177211522409184
"6928","control","block 2",9,"1",2049,54,"md_as_22",-0.0614102672077654,-0.328602799217435,0.177211522409184
"6935","control","block 2",10,"2",2710,36,"md_as_22",-0.777127050492514,-0.757816459846856,0.177211522409184
"6942","control","block 2",11,"1",2840,68,"md_as_22",0.495258342013705,-0.84365919197274,0.177211522409184
"6949","control","block 2",12,"1",4065,73,"md_as_22",0.694068559592802,0.529824522041406,0.177211522409184
"6956","control","block 2",13,"1",5052,73,"md_as_22",0.694068559592802,0.443981789915522,0.177211522409184
"6963","control","block 2",14,"2",3739,30,"md_as_22",-1.01569931158743,0.486903155978464,0.177211522409184
"6970","control","block 2",15,"1",3102,68,"md_as_22",0.495258342013705,-0.457366897406262,0.177211522409184
"6977","control","block 2",16,"2",3031,33,"md_as_22",-0.896413181039972,0.443981789915522,0.177211522409184
"6984","control","block 2",17,"1",4915,80,"md_as_22",0.972402864203538,0.0576894953490432,0.177211522409184
"6991","control","block 2",18,"1",2326,75,"md_as_22",0.773592646624441,0.315217691726696,0.177211522409184
"6998","control","block 2",19,"2",2026,30,"md_as_22",-1.01569931158743,0.744431352356116,0.177211522409184
"7005","control","block 2",20,"2",2791,28,"md_as_22",-1.09522339861907,-0.714895093783914,0.177211522409184
"7012","control","block 2",21,"1",2935,69,"md_as_22",0.535020385529525,-1.18703012047628,0.177211522409184
"7019","control","block 2",22,"2",1966,22,"md_as_22",-1.33379565971398,0.61566725416729,0.177211522409184
"7026","control","block 2",23,"1",2489,75,"md_as_22",0.773592646624441,-0.543209629532146,0.177211522409184
"7033","control","block 2",24,"2",2855,23,"md_as_22",-1.29403361619817,0.443981789915522,0.177211522409184
"7040","control","block 2",25,"2",2689,27,"md_as_22",-1.13498544213489,-0.328602799217435,0.177211522409184
"7048","treatment","block 1",1,"1",3834,80,"md_as_30",0.972402864203538,-1.57332241504276,0.729293572991643
"7055","treatment","block 1",2,"2",4559,18,"md_as_30",-1.49284383377726,-0.328602799217435,0.729293572991643
"7062","treatment","block 1",3,"1",4614,87,"md_as_30",1.25073716881427,-0.113995968902725,0.729293572991643
"7069","treatment","block 1",4,"1",4918,95,"md_as_30",1.56883351694083,0.873195450544942,0.729293572991643
"7076","treatment","block 1",5,"1",466,10,"md_as_30",-1.81094018190382,0.916116816607885,0.729293572991643
"7083","treatment","block 1",6,"1",2816,96,"md_as_30",1.60859556045665,1.17364501298554,0.729293572991643
"7090","treatment","block 1",7,"1",4195,92,"md_as_30",1.44954738639337,1.21656637904848,0.729293572991643
"7097","treatment","block 1",8,"1",2733,100,"md_as_30",1.76764373451992,1.13072364692259,0.729293572991643
"7104","treatment","block 1",9,"2",3225,32,"md_as_30",-0.936175224555791,1.38825184330025,0.729293572991643
"7111","treatment","block 1",10,"1",438,40,"md_as_30",-0.618078876429236,-0.156917334965667,0.729293572991643
"7118","treatment","block 1",11,"2",2919,25,"md_as_30",-1.21450952916653,-0.285681433154493,0.729293572991643
"7125","treatment","block 1",12,"1",2954,64,"md_as_30",0.336210167950428,-0.156917334965667,0.729293572991643
"7132","treatment","block 1",13,"1",2760,89,"md_as_30",1.33026125584591,-0.285681433154493,0.729293572991643
"7139","treatment","block 1",14,"1",4805,93,"md_as_30",1.48930942990919,-0.285681433154493,0.729293572991643
"7146","treatment","block 1",15,"1",2047,93,"md_as_30",1.48930942990919,0.443981789915522,0.729293572991643
"7153","treatment","block 1",16,"1",4198,68,"md_as_30",0.495258342013705,0.701509986293174,0.729293572991643
"7160","treatment","block 1",17,"2",4220,49,"md_as_30",-0.260220484786862,0.873195450544942,0.729293572991643
"7167","treatment","block 1",18,"1",2337,74,"md_as_30",0.733830603108622,1.04488091479671,0.729293572991643
"7174","treatment","block 1",19,"1",2467,92,"md_as_30",1.44954738639337,1.25948774511142,0.729293572991643
"7181","treatment","block 1",20,"1",4237,92,"md_as_30",1.44954738639337,1.30240911117436,0.729293572991643
"7188","treatment","block 1",21,"2",4240,24,"md_as_30",-1.25427157268235,1.13072364692259,0.729293572991643
"7195","treatment","block 1",22,"1",3374,50,"md_as_30",-0.220458441271043,1.73162277180378,0.729293572991643
"7202","treatment","block 1",23,"1",3426,65,"md_as_30",0.375972211466247,1.51701594148907,0.729293572991643
"7209","treatment","block 1",24,"1",4696,66,"md_as_30",0.415734254982067,1.60285867361496,0.729293572991643
"7216","treatment","block 1",25,"1",2035,49,"md_as_30",-0.260220484786862,-0.800737825909798,0.729293572991643
"7224","treatment","block 2",1,"2",3380,25,"md_as_30",-1.21450952916653,-0.071074602839783,0.729293572991643
"7231","treatment","block 2",2,"1",2421,54,"md_as_30",-0.0614102672077654,0.873195450544942,0.729293572991643
"7238","treatment","block 2",3,"2",3414,28,"md_as_30",-1.09522339861907,0.658588620230232,0.729293572991643
"7245","treatment","block 2",4,"2",2568,23,"md_as_30",-1.29403361619817,1.55993730755202,0.729293572991643
"7252","treatment","block 2",5,"2",2903,12,"md_as_30",-1.73141609487218,0.529824522041406,0.729293572991643
"7259","treatment","block 2",6,"2",3945,3,"md_as_30",-2.08927448651455,-0.242760067091551,0.729293572991643
"7266","treatment","block 2",7,"2",4033,5,"md_as_30",-2.00975039948291,-1.22995148653922,0.729293572991643
"7273","treatment","block 2",8,"2",1700,0,"md_as_30",-2.20856061706201,-1.44455831685393,0.729293572991643
"7280","treatment","block 2",9,"1",4034,70,"md_as_30",0.574782429045344,-1.78792924535747,0.729293572991643
"7287","treatment","block 2",10,"2",3099,21,"md_as_30",-1.3735577032298,-1.18703012047628,0.729293572991643
"7294","treatment","block 2",11,"1",1875,73,"md_as_30",0.694068559592802,-1.22995148653922,0.729293572991643
"7301","treatment","block 2",12,"2",1269,0,"md_as_30",-2.20856061706201,-0.457366897406262,0.729293572991643
"7308","treatment","block 2",13,"2",4416,4,"md_as_30",-2.04951244299873,-0.800737825909798,0.729293572991643
"7315","treatment","block 2",14,"2",1331,0,"md_as_30",-2.20856061706201,-1.18703012047628,0.729293572991643
"7322","treatment","block 2",15,"2",3708,0,"md_as_30",-2.20856061706201,-2.04545744173512,0.729293572991643
"7329","treatment","block 2",16,"2",3047,5,"md_as_30",-2.00975039948291,-2.04545744173512,0.729293572991643
"7336","treatment","block 2",17,"1",2791,33,"md_as_30",-0.896413181039972,-2.04545744173512,0.729293572991643
"7343","treatment","block 2",18,"2",2034,3,"md_as_30",-2.08927448651455,0.358139057789638,0.729293572991643
"7350","treatment","block 2",19,"2",1601,0,"md_as_30",-2.20856061706201,-1.83085061142041,0.729293572991643
"7357","treatment","block 2",20,"2",1564,0,"md_as_30",-2.20856061706201,-2.04545744173512,0.729293572991643
"7364","treatment","block 2",21,"1",3822,61,"md_as_30",0.21692403740297,-2.04545744173512,0.729293572991643
"7371","treatment","block 2",22,"2",1625,13,"md_as_30",-1.69165405135636,-1.6162437811057,0.729293572991643
"7378","treatment","block 2",23,"2",3459,18,"md_as_30",-1.49284383377726,-1.78792924535747,0.729293572991643
"7385","treatment","block 2",24,"2",1131,3,"md_as_30",-2.08927448651455,-1.95961470960923,0.729293572991643
"7392","treatment","block 2",25,"2",2213,8,"md_as_30",-1.89046426893546,-1.14410875441333,0.729293572991643
"7400","control","block 1",1,"1",4340,88,"md_as_30",1.29049921233009,1.30240911117436,0.729293572991643
"7407","control","block 1",2,"2",1945,47,"md_as_30",-0.339744571818501,1.21656637904848,0.729293572991643
"7414","control","block 1",3,"1",1816,91,"md_as_30",1.40978534287755,1.43117320936319,0.729293572991643
"7421","control","block 1",4,"2",2405,47,"md_as_30",-0.339744571818501,1.21656637904848,0.729293572991643
"7428","control","block 1",5,"1",2952,84,"md_as_30",1.13145103826682,0.959038182670827,0.729293572991643
"7435","control","block 1",6,"2",2428,33,"md_as_30",-0.896413181039972,1.25948774511142,0.729293572991643
"7442","control","block 1",7,"1",2483,73,"md_as_30",0.694068559592802,1.08780228085965,0.729293572991643
"7449","control","block 1",8,"2",1842,46,"md_as_30",-0.37950661533432,1.21656637904848,0.729293572991643
"7456","control","block 1",9,"1",2173,94,"md_as_30",1.52907147342501,1.34533047723731,0.729293572991643
"7463","control","block 1",10,"2",3240,24,"md_as_30",-1.25427157268235,1.13072364692259,0.729293572991643
"7470","control","block 1",11,"1",2042,52,"md_as_30",-0.140934354239404,0.443981789915522,0.729293572991643
"7477","control","block 1",12,"1",689,40,"md_as_30",-0.618078876429236,0.186453593537869,0.729293572991643
"7484","control","block 1",13,"2",2554,49,"md_as_30",-0.260220484786862,0.186453593537869,0.729293572991643
"7491","control","block 1",14,"2",1091,22,"md_as_30",-1.33379565971398,-0.328602799217435,0.729293572991643
"7498","control","block 1",15,"1",1296,57,"md_as_30",0.0578758633396926,-0.757816459846856,0.729293572991643
"7505","control","block 1",16,"2",1154,27,"md_as_30",-1.13498544213489,-0.800737825909798,0.729293572991643
"7512","control","block 1",17,"1",2181,66,"md_as_30",0.415734254982067,-0.41444553134332,0.729293572991643
"7519","control","block 1",18,"1",2755,72,"md_as_30",0.654306516076983,-0.62905236165803,0.729293572991643
"7526","control","block 1",19,"2",1839,29,"md_as_30",-1.05546135510325,0.0576894953490432,0.729293572991643
"7533","control","block 1",20,"2",1970,35,"md_as_30",-0.816889094008333,-0.757816459846856,0.729293572991643
"7540","control","block 1",21,"1",2820,64,"md_as_30",0.336210167950428,-0.714895093783914,0.729293572991643
"7547","control","block 1",22,"2",1371,47,"md_as_30",-0.339744571818501,-0.586130995595088,0.729293572991643
"7554","control","block 1",23,"1",2032,49,"md_as_30",-0.260220484786862,0.100610861411985,0.729293572991643
"7561","control","block 1",24,"2",2407,23,"md_as_30",-1.29403361619817,-0.156917334965667,0.729293572991643
"7568","control","block 1",25,"2",1616,17,"md_as_30",-1.53260587729308,-0.84365919197274,0.729293572991643
"7576","control","block 2",1,"1",1619,62,"md_as_30",0.256686080918789,-0.071074602839783,0.729293572991643
"7583","control","block 2",2,"2",4615,37,"md_as_30",-0.737365006976694,-0.242760067091551,0.729293572991643
"7590","control","block 2",3,"1",2254,59,"md_as_30",0.137399950371331,0.0147681292861011,0.729293572991643
"7597","control","block 2",4,"2",2996,31,"md_as_30",-0.975937268071611,0.40106042385258,0.729293572991643
"7604","control","block 2",5,"1",1303,65,"md_as_30",0.375972211466247,-0.113995968902725,0.729293572991643
"7611","control","block 2",6,"2",1875,27,"md_as_30",-1.13498544213489,0.658588620230232,0.729293572991643
