"","condition","block_no","trial_no","trial_type","rt","closeness","id","emotion_rating","closeness","pos_PNR"
"437","treatment","block 1",12,"1",3278,74,"md_as_12",0.733830603108622,0.0147681292861011,0.177211522409184
"444","treatment","block 1",13,"1",2992,79,"md_as_12",0.932640820687718,-0.199838701028609,0.177211522409184
"451","treatment","block 1",14,"1",2300,75,"md_as_12",0.773592646624441,-0.113995968902725,0.177211522409184
"458","treatment","block 1",15,"1",3179,45,"md_as_12",-0.41926865885014,-0.156917334965667,0.177211522409184
"465","treatment","block 1",16,"1",3000,67,"md_as_12",0.455496298497886,-0.242760067091551,0.177211522409184
"472","treatment","block 1",17,"2",1048,61,"md_as_12",0.21692403740297,-0.113995968902725,0.177211522409184
"479","treatment","block 1",18,"1",2023,68,"md_as_12",0.495258342013705,-0.41444553134332,0.177211522409184
"486","treatment","block 1",19,"1",821,80,"md_as_12",0.972402864203538,-0.113995968902725,0.177211522409184
"493","treatment","block 1",20,"1",2810,65,"md_as_12",0.375972211466247,-0.071074602839783,0.177211522409184
"500","treatment","block 1",21,"2",3174,74,"md_as_12",0.733830603108622,-0.242760067091551,0.177211522409184
"507","treatment","block 1",22,"1",2024,70,"md_as_12",0.574782429045344,-0.285681433154493,0.177211522409184
"514","treatment","block 1",23,"1",2704,77,"md_as_12",0.85311673365608,-0.371524165280378,0.177211522409184
"521","treatment","block 1",24,"1",2142,81,"md_as_12",1.01216490771936,-0.071074602839783,0.177211522409184
"528","treatment","block 1",25,"1",2461,60,"md_as_12",0.177161993887151,-0.757816459846856,0.177211522409184
"536","treatment","block 2",1,"2",2270,61,"md_as_12",0.21692403740297,-0.371524165280378,0.177211522409184
"543","treatment","block 2",2,"1",1516,84,"md_as_12",1.13145103826682,-0.328602799217435,0.177211522409184
"550","treatment","block 2",3,"2",1730,64,"md_as_12",0.336210167950428,0.100610861411985,0.177211522409184
"557","treatment","block 2",4,"2",3766,60,"md_as_12",0.177161993887151,-0.62905236165803,0.177211522409184
"564","treatment","block 2",5,"2",1817,65,"md_as_12",0.375972211466247,-0.328602799217435,0.177211522409184
"571","treatment","block 2",6,"2",2007,63,"md_as_12",0.296448124434609,-0.113995968902725,0.177211522409184
"578","treatment","block 2",7,"2",1311,57,"md_as_12",0.0578758633396926,-0.071074602839783,0.177211522409184
"585","treatment","block 2",8,"2",2136,59,"md_as_12",0.137399950371331,0.0576894953490432,0.177211522409184
"592","treatment","block 2",9,"1",1424,81,"md_as_12",1.01216490771936,-0.242760067091551,0.177211522409184
"599","treatment","block 2",10,"2",1455,62,"md_as_12",0.256686080918789,-0.543209629532146,0.177211522409184
"606","treatment","block 2",11,"1",1771,64,"md_as_12",0.336210167950428,-0.199838701028609,0.177211522409184
"613","treatment","block 2",12,"2",2152,56,"md_as_12",0.0181138198238733,-0.028153236776841,0.177211522409184
"620","treatment","block 2",13,"2",1565,58,"md_as_12",0.097637906855512,-0.199838701028609,0.177211522409184
"627","treatment","block 2",14,"2",1925,63,"md_as_12",0.296448124434609,-0.500288263469204,0.177211522409184
"634","treatment","block 2",15,"2",2855,60,"md_as_12",0.177161993887151,-0.285681433154493,0.177211522409184
"641","treatment","block 2",16,"2",2047,62,"md_as_12",0.256686080918789,-0.199838701028609,0.177211522409184
"648","treatment","block 2",17,"1",2753,74,"md_as_12",0.733830603108622,-0.199838701028609,0.177211522409184
"655","treatment","block 2",18,"2",3187,54,"md_as_12",-0.0614102672077654,-0.457366897406262,0.177211522409184
"662","treatment","block 2",19,"2",1496,51,"md_as_12",-0.180696397755224,-0.156917334965667,0.177211522409184
"669","treatment","block 2",20,"2",1698,60,"md_as_12",0.177161993887151,-0.586130995595088,0.177211522409184
"676","treatment","block 2",21,"1",2239,70,"md_as_12",0.574782429045344,0.0576894953490432,0.177211522409184
"683","treatment","block 2",22,"2",3127,76,"md_as_12",0.81335469014026,-0.800737825909798,0.177211522409184
"690","treatment","block 2",23,"2",1894,56,"md_as_12",0.0181138198238733,-0.84365919197274,0.177211522409184
"697","treatment","block 2",24,"2",1514,45,"md_as_12",-0.41926865885014,0.186453593537869,0.177211522409184
"704","treatment","block 2",25,"2",3353,52,"md_as_12",-0.140934354239404,-0.371524165280378,0.177211522409184
"712","treatment","block 1",1,"1",3852,61,"md_as_13",0.21692403740297,-0.41444553134332,-0.374870528173274
"719","treatment","block 1",2,"2",3475,43,"md_as_13",-0.498792745881778,0.100610861411985,-0.374870528173274
"726","treatment","block 1",3,"1",4404,63,"md_as_13",0.296448124434609,-0.242760067091551,-0.374870528173274
"733","treatment","block 1",4,"1",2495,83,"md_as_13",1.091688994751,0.701509986293174,-0.374870528173274
"740","treatment","block 1",5,"1",4800,51,"md_as_13",-0.180696397755224,0.486903155978464,-0.374870528173274
"747","treatment","block 1",6,"1",1982,68,"md_as_13",0.495258342013705,0.229374959600811,-0.374870528173274
"754","treatment","block 1",7,"1",3736,61,"md_as_13",0.21692403740297,0.572745888104348,-0.374870528173274
"761","treatment","block 1",8,"1",3867,58,"md_as_13",0.097637906855512,0.658588620230232,-0.374870528173274
"768","treatment","block 1",9,"2",3960,37,"md_as_13",-0.737365006976694,0.529824522041406,-0.374870528173274
"775","treatment","block 1",10,"1",5110,58,"md_as_13",0.097637906855512,-0.543209629532146,-0.374870528173274
"782","treatment","block 1",11,"2",2942,37,"md_as_13",-0.737365006976694,-0.285681433154493,-0.374870528173274
"789","treatment","block 1",12,"1",3804,77,"md_as_13",0.85311673365608,-0.156917334965667,-0.374870528173274
"796","treatment","block 1",13,"1",4272,56,"md_as_13",0.0181138198238733,0.100610861411985,-0.374870528173274
"803","treatment","block 1",14,"1",2640,76,"md_as_13",0.81335469014026,0.0147681292861011,-0.374870528173274
"810","treatment","block 1",15,"1",4112,72,"md_as_13",0.654306516076983,0.959038182670827,-0.374870528173274
"817","treatment","block 1",16,"1",2969,65,"md_as_13",0.375972211466247,0.873195450544942,-0.374870528173274
