"","condition","block_no","trial_type","id","choice_val.mean"
"121","treatment",2,1,"md_as_25",19.9
"122","treatment",2,1,"md_as_26",25.15
"123","treatment",2,1,"md_as_27",24.25
"124","treatment",2,1,"md_as_28",36.25
"125","treatment",2,1,"md_as_29",38.3
"126","treatment",2,1,"md_as_39",7.5
"127","treatment",2,1,"md_as_43",23.65
"128","treatment",2,1,"md_as_44",24.95
"129","treatment",2,1,"md_as_45",12.1
"130","treatment",2,1,"md_as_46",3.55
"131","treatment",2,1,"md_as_51",50.05
"132","treatment",2,1,"md_as_56",13.05
"133","treatment",2,1,"md_as_57",67.2
"134","treatment",2,1,"md_as_58",31.3
"135","treatment",2,1,"md_as_59",20.5
"136","treatment",2,2,"md_as_01",88.2
"137","treatment",2,2,"md_as_02",27.8
"138","treatment",2,2,"md_as_04",30
"139","treatment",2,2,"md_as_05",48
"140","treatment",2,2,"md_as_06",52.4
"141","treatment",2,2,"md_as_07",40.8
"142","treatment",2,2,"md_as_08",80.8
"143","treatment",2,2,"md_as_09",93.8
"144","treatment",2,2,"md_as_10",46.4
"145","treatment",2,2,"md_as_11",57
"146","treatment",2,2,"md_as_23",38.8
"147","treatment",2,2,"md_as_24",59
"148","treatment",2,2,"md_as_25",64
"149","treatment",2,2,"md_as_26",36.4
"150","treatment",2,2,"md_as_27",30.2
"151","treatment",2,2,"md_as_28",54
"152","treatment",2,2,"md_as_29",39.4
"153","treatment",2,2,"md_as_39",87
"154","treatment",2,2,"md_as_43",72.8
"155","treatment",2,2,"md_as_44",67.8
"156","treatment",2,2,"md_as_45",64.4
"157","treatment",2,2,"md_as_46",61.8
"158","treatment",2,2,"md_as_51",59.4
"159","treatment",2,2,"md_as_56",83.8
"160","treatment",2,2,"md_as_57",71.2
"161","treatment",2,2,"md_as_58",79
"162","treatment",2,2,"md_as_59",71.4
"163","treatment",4,1,"md_as_01",15.8
"164","treatment",4,1,"md_as_02",31.4
"165","treatment",4,1,"md_as_04",30.8
"166","treatment",4,1,"md_as_05",61
"167","treatment",4,1,"md_as_06",38.2
"168","treatment",4,1,"md_as_07",20.8
"169","treatment",4,1,"md_as_08",42.2
"170","treatment",4,1,"md_as_09",19.6
"171","treatment",4,1,"md_as_10",26.6
"172","treatment",4,1,"md_as_11",47
"173","treatment",4,1,"md_as_23",14.6
"174","treatment",4,1,"md_as_24",57
"175","treatment",4,1,"md_as_25",28.4
"176","treatment",4,1,"md_as_26",30.4
"177","treatment",4,1,"md_as_27",50.2
"178","treatment",4,1,"md_as_28",66.4
"179","treatment",4,1,"md_as_29",46.6
"180","treatment",4,1,"md_as_39",8.8
"181","treatment",4,1,"md_as_43",31.6
"182","treatment",4,1,"md_as_44",28.8
"183","treatment",4,1,"md_as_45",19.8
"184","treatment",4,1,"md_as_46",11
"185","treatment",4,1,"md_as_51",45.8
"186","treatment",4,1,"md_as_56",25.6
"187","treatment",4,1,"md_as_57",73.2
"188","treatment",4,1,"md_as_58",31.8
"189","treatment",4,1,"md_as_59",22
"190","treatment",4,2,"md_as_01",80.1
"191","treatment",4,2,"md_as_02",40.95
"192","treatment",4,2,"md_as_04",34.6
"193","treatment",4,2,"md_as_05",56.75
"194","treatment",4,2,"md_as_06",56
"195","treatment",4,2,"md_as_07",20.9
"196","treatment",4,2,"md_as_08",86.2
"197","treatment",4,2,"md_as_09",94.65
"198","treatment",4,2,"md_as_10",37.25
"199","treatment",4,2,"md_as_11",68.5
"200","treatment",4,2,"md_as_23",25.3
"201","treatment",4,2,"md_as_24",71.2
"202","treatment",4,2,"md_as_25",74.5
"203","treatment",4,2,"md_as_26",53.25
"204","treatment",4,2,"md_as_27",60.15
