"","subj_idx","blockno","trialno","rt","response","id","motive","condition","other_poss_loss","sample"
"75",0,3,"10","3538",1,"md_as_01","empathy","treatment",380,"lab"
"76",0,3,"11","1424",0,"md_as_01","empathy","treatment",360,"lab"
"77",0,3,"12","2679",1,"md_as_01","empathy","treatment",340,"lab"
"78",0,3,"13","2490",1,"md_as_01","empathy","treatment",360,"lab"
"79",0,3,"14","1623",0,"md_as_01","empathy","treatment",240,"lab"
"80",0,3,"15","1454",0,"md_as_01","empathy","treatment",380,"lab"
"81",0,3,"16","1788",0,"md_as_01","empathy","treatment",20,"lab"
"82",0,3,"17","1582",0,"md_as_01","empathy","treatment",160,"lab"
"83",0,3,"18","1987",0,"md_as_01","empathy","treatment",240,"lab"
"84",0,3,"19","1812",0,"md_as_01","empathy","treatment",60,"lab"
"85",0,3,"20","1544",0,"md_as_01","empathy","treatment",340,"lab"
"86",0,3,"21","1724",0,"md_as_01","empathy","treatment",300,"lab"
"87",0,3,"22","2509",0,"md_as_01","empathy","treatment",320,"lab"
"88",0,3,"23","2421",0,"md_as_01","empathy","treatment",120,"lab"
"89",0,3,"24","1511",0,"md_as_01","empathy","treatment",360,"lab"
"90",0,3,"25","972",0,"md_as_01","empathy","treatment",160,"lab"
"91",0,3,"26","1413",0,"md_as_01","empathy","treatment",100,"lab"
"92",0,3,"27","1256",0,"md_as_01","empathy","treatment",40,"lab"
"93",0,3,"28","1133",0,"md_as_01","empathy","treatment",120,"lab"
"94",0,3,"29","3690",1,"md_as_01","empathy","treatment",320,"lab"
"95",0,3,"30","1148",0,"md_as_01","empathy","treatment",60,"lab"
"96",0,3,"31","1095",0,"md_as_01","empathy","treatment",180,"lab"
"97",0,3,"32","1646",0,"md_as_01","empathy","treatment",280,"lab"
"98",0,3,"33","2402",1,"md_as_01","empathy","treatment",360,"lab"
"99",0,3,"34","1776",0,"md_as_01","empathy","treatment",180,"lab"
"100",0,1,"1","1845",0,"md_as_01","empathy","control",20,"lab"
"101",0,1,"2","2634",0,"md_as_01","empathy","control",220,"lab"
"102",0,1,"3","2606",1,"md_as_01","empathy","control",380,"lab"
"103",0,1,"4","3346",1,"md_as_01","empathy","control",300,"lab"
"104",0,1,"5","2227",0,"md_as_01","empathy","control",360,"lab"
"105",0,1,"6","1238",0,"md_as_01","empathy","control",340,"lab"
"106",0,1,"7","2146",0,"md_as_01","empathy","control",160,"lab"
"107",0,1,"8","2448",1,"md_as_01","empathy","control",380,"lab"
"108",0,1,"9","2234",0,"md_as_01","empathy","control",20,"lab"
"109",0,1,"10","2304",0,"md_as_01","empathy","control",120,"lab"
"110",0,1,"11","1750",0,"md_as_01","empathy","control",180,"lab"
"111",0,1,"12","1132",0,"md_as_01","empathy","control",240,"lab"
"112",0,1,"13","2148",0,"md_as_01","empathy","control",160,"lab"
"113",0,1,"14","2006",0,"md_as_01","empathy","control",300,"lab"
"114",0,1,"15","1442",1,"md_as_01","empathy","control",280,"lab"
"115",0,1,"16","2107",0,"md_as_01","empathy","control",40,"lab"
"116",0,1,"17","1195",0,"md_as_01","empathy","control",40,"lab"
"117",0,1,"18","2520",0,"md_as_01","empathy","control",60,"lab"
"118",0,1,"19","1763",1,"md_as_01","empathy","control",360,"lab"
"119",0,1,"20","1090",0,"md_as_01","empathy","control",100,"lab"
"120",0,1,"21","1468",0,"md_as_01","empathy","control",120,"lab"
"121",0,1,"22","1216",0,"md_as_01","empathy","control",180,"lab"
"122",0,1,"23","2534",1,"md_as_01","empathy","control",280,"lab"
"123",0,1,"24","2927",1,"md_as_01","empathy","control",360,"lab"
"124",0,1,"25","2922",1,"md_as_01","empathy","control",320,"lab"
"125",0,1,"26","1132",0,"md_as_01","empathy","control",320,"lab"
"126",0,1,"27","1501",0,"md_as_01","empathy","control",240,"lab"
"127",0,1,"28","1140",0,"md_as_01","empathy","control",60,"lab"
"128",0,1,"29","3108",1,"md_as_01","empathy","control",340,"lab"
"129",0,1,"30","1710",0,"md_as_01","empathy","control",380,"lab"
"130",0,1,"31","1685",0,"md_as_01","empathy","control",100,"lab"
"131",0,1,"32","2151",1,"md_as_01","empathy","control",360,"lab"
"132",0,1,"33","2971",1,"md_as_01","empathy","control",380,"lab"
"133",0,1,"34","1152",0,"md_as_01","empathy","control",220,"lab"
"134",0,2,"1","1268",0,"md_as_01","empathy","control",20,"lab"
"135",0,2,"2","2980",1,"md_as_01","empathy","control",220,"lab"
"136",0,2,"3","2554",1,"md_as_01","empathy","control",380,"lab"
"137",0,2,"4","2255",0,"md_as_01","empathy","control",300,"lab"
"138",0,2,"5","2209",1,"md_as_01","empathy","control",360,"lab"
"139",0,2,"6","2435",1,"md_as_01","empathy","control",340,"lab"
"140",0,2,"7","1301",0,"md_as_01","empathy","control",160,"lab"
"141",0,2,"8","1923",1,"md_as_01","empathy","control",380,"lab"
"142",0,2,"9","2125",0,"md_as_01","empathy","control",20,"lab"
"143",0,2,"10","1648",0,"md_as_01","empathy","control",120,"lab"
"144",0,2,"11","911",0,"md_as_01","empathy","control",180,"lab"
"145",0,2,"12","1285",0,"md_as_01","empathy","control",240,"lab"
"146",0,2,"13","3002",0,"md_as_01","empathy","control",160,"lab"
"147",0,2,"14","1287",0,"md_as_01","empathy","control",300,"lab"
"148",0,2,"15","1922",0,"md_as_01","empathy","control",280,"lab"
"149",0,2,"16","1520",0,"md_as_01","empathy","control",40,"lab"
"150",0,2,"17","1106",0,"md_as_01","empathy","control",40,"lab"
"151",0,2,"18","1968",0,"md_as_01","empathy","control",60,"lab"
"152",0,2,"19","1892",1,"md_as_01","empathy","control",360,"lab"
"153",0,2,"20","3186",0,"md_as_01","empathy","control",100,"lab"
"154",0,2,"21","1779",0,"md_as_01","empathy","control",120,"lab"
"155",0,2,"22","3156",0,"md_as_01","empathy","control",180,"lab"
"156",0,2,"23","1361",0,"md_as_01","empathy","control",280,"lab"
"157",0,2,"24","3137",1,"md_as_01","empathy","control",360,"lab"
"158",0,2,"25","3126",1,"md_as_01","empathy","control",320,"lab"
"159",0,2,"26","1814",0,"md_as_01","empathy","control",320,"lab"
"160",0,2,"27","1707",0,"md_as_01","empathy","control",240,"lab"
"161",0,2,"28","1780",1,"md_as_01","empathy","control",60,"lab"
"162",0,2,"29","1179",0,"md_as_01","empathy","control",340,"lab"
"163",0,2,"30","1682",0,"md_as_01","empathy","control",380,"lab"
"164",0,2,"31","2463",0,"md_as_01","empathy","control",100,"lab"
"165",0,2,"32","2326",1,"md_as_01","empathy","control",360,"lab"
"166",0,2,"33","1236",0,"md_as_01","empathy","control",380,"lab"
"167",0,2,"34","1101",0,"md_as_01","empathy","control",220,"lab"
"168",0,3,"1","1509",0,"md_as_01","empathy","control",380,"lab"
"169",0,3,"2","1984",0,"md_as_01","empathy","control",160,"lab"
"170",0,3,"3","1809",1,"md_as_01","empathy","control",100,"lab"
"171",0,3,"4","2510",0,"md_as_01","empathy","control",220,"lab"
"172",0,3,"5","1749",0,"md_as_01","empathy","control",180,"lab"
"173",0,3,"6","3134",0,"md_as_01","empathy","control",320,"lab"
"174",0,3,"7","1837",1,"md_as_01","empathy","control",320,"lab"
"175",0,3,"8","1247",0,"md_as_01","empathy","control",40,"lab"
"176",0,3,"9","1581",1,"md_as_01","empathy","control",360,"lab"
"177",0,3,"10","2154",0,"md_as_01","empathy","control",100,"lab"
"178",0,3,"11","969",0,"md_as_01","empathy","control",20,"lab"
"179",0,3,"12","1835",0,"md_as_01","empathy","control",380,"lab"
"180",0,3,"13","1643",1,"md_as_01","empathy","control",340,"lab"
"181",0,3,"14","1813",1,"md_as_01","empathy","control",240,"lab"
"182",0,3,"15","1600",0,"md_as_01","empathy","control",360,"lab"
"183",0,3,"16","1632",0,"md_as_01","empathy","control",340,"lab"
"184",0,3,"17","836",0,"md_as_01","empathy","control",120,"lab"
"185",0,3,"18","830",0,"md_as_01","empathy","control",240,"lab"
"186",0,3,"19","1616",0,"md_as_01","empathy","control",120,"lab"
"187",0,3,"20","2454",1,"md_as_01","empathy","control",380,"lab"
"188",0,3,"21","1384",0,"md_as_01","empathy","control",60,"lab"
"189",0,3,"22","870",0,"md_as_01","empathy","control",280,"lab"
"190",0,3,"23","1161",0,"md_as_01","empathy","control",300,"lab"
"191",0,3,"24","1915",1,"md_as_01","empathy","control",380,"lab"
"192",0,3,"25","904",0,"md_as_01","empathy","control",40,"lab"
"193",0,3,"26","2479",1,"md_as_01","empathy","control",360,"lab"
"194",0,3,"27","1846",0,"md_as_01","empathy","control",220,"lab"
"195",0,3,"28","1574",0,"md_as_01","empathy","control",60,"lab"
"196",0,3,"29","1919",0,"md_as_01","empathy","control",360,"lab"
"197",0,3,"30","1889",0,"md_as_01","empathy","control",180,"lab"
"198",0,3,"31","2910",0,"md_as_01","empathy","control",300,"lab"
"199",0,3,"32","2600",0,"md_as_01","empathy","control",280,"lab"
"200",0,3,"33","2828",0,"md_as_01","empathy","control",20,"lab"
"201",0,3,"34","2677",0,"md_as_01","empathy","control",160,"lab"
"202",1,1,"1","2714",0,"md_as_02","empathy","control",380,"lab"
"203",1,1,"2","3686",0,"md_as_02","empathy","control",60,"lab"
"204",1,1,"3","2985",1,"md_as_02","empathy","control",220,"lab"
"205",1,1,"4","3014",1,"md_as_02","empathy","control",320,"lab"
"206",1,1,"5","2986",1,"md_as_02","empathy","control",380,"lab"
"207",1,1,"6","2549",0,"md_as_02","empathy","control",40,"lab"
"208",1,1,"7","2665",1,"md_as_02","empathy","control",360,"lab"
"209",1,1,"8","2998",1,"md_as_02","empathy","control",240,"lab"
"210",1,1,"9","2537",1,"md_as_02","empathy","control",380,"lab"
"211",1,1,"10","3111",1,"md_as_02","empathy","control",360,"lab"
"212",1,1,"11","3053",0,"md_as_02","empathy","control",380,"lab"
"213",1,1,"12","3124",1,"md_as_02","empathy","control",280,"lab"
"214",1,1,"13","2876",0,"md_as_02","empathy","control",40,"lab"
"215",1,1,"14","2856",0,"md_as_02","empathy","control",120,"lab"
"216",1,1,"15","2696",1,"md_as_02","empathy","control",280,"lab"
"217",1,1,"16","2433",1,"md_as_02","empathy","control",360,"lab"
"218",1,1,"17","2053",1,"md_as_02","empathy","control",300,"lab"
"219",1,1,"18","2704",0,"md_as_02","empathy","control",60,"lab"
"220",1,1,"19","2923",1,"md_as_02","empathy","control",340,"lab"
"221",1,1,"20","2265",0,"md_as_02","empathy","control",20,"lab"
"222",1,1,"21","2497",0,"md_as_02","empathy","control",180,"lab"
"223",1,1,"22","3113",1,"md_as_02","empathy","control",120,"lab"
"224",1,1,"23","3915",1,"md_as_02","empathy","control",220,"lab"
"225",1,1,"24","2260",0,"md_as_02","empathy","control",160,"lab"
"226",1,1,"25","3250",1,"md_as_02","empathy","control",160,"lab"
"227",1,1,"27","2386",1,"md_as_02","empathy","control",240,"lab"
"228",1,1,"28","2497",1,"md_as_02","empathy","control",180,"lab"
"229",1,1,"29","3111",1,"md_as_02","empathy","control",320,"lab"
"230",1,1,"30","3132",1,"md_as_02","empathy","control",300,"lab"
"231",1,1,"31","3010",1,"md_as_02","empathy","control",340,"lab"
"232",1,1,"33","3161",0,"md_as_02","empathy","control",100,"lab"
"233",1,1,"34","2265",0,"md_as_02","empathy","control",20,"lab"
"234",1,2,"1","2914",0,"md_as_02","empathy","control",380,"lab"
"235",1,2,"2","2529",0,"md_as_02","empathy","control",60,"lab"
"236",1,2,"3","1918",1,"md_as_02","empathy","control",220,"lab"
"237",1,2,"4","2546",1,"md_as_02","empathy","control",320,"lab"
"238",1,2,"5","2340",1,"md_as_02","empathy","control",380,"lab"
"239",1,2,"6","2702",0,"md_as_02","empathy","control",40,"lab"
"240",1,2,"7","1636",1,"md_as_02","empathy","control",360,"lab"
"241",1,2,"8","2477",1,"md_as_02","empathy","control",240,"lab"
"242",1,2,"9","2032",1,"md_as_02","empathy","control",380,"lab"
"243",1,2,"10","2373",1,"md_as_02","empathy","control",360,"lab"
"244",1,2,"11","3266",0,"md_as_02","empathy","control",380,"lab"
"245",1,2,"12","1919",1,"md_as_02","empathy","control",280,"lab"
"246",1,2,"13","1656",0,"md_as_02","empathy","control",40,"lab"
"247",1,2,"14","2603",0,"md_as_02","empathy","control",120,"lab"
"248",1,2,"15","2636",1,"md_as_02","empathy","control",280,"lab"
"249",1,2,"16","1945",1,"md_as_02","empathy","control",360,"lab"
"250",1,2,"17","2921",1,"md_as_02","empathy","control",300,"lab"
"251",1,2,"18","2536",0,"md_as_02","empathy","control",60,"lab"
"252",1,2,"19","1974",1,"md_as_02","empathy","control",340,"lab"
"253",1,2,"20","3352",0,"md_as_02","empathy","control",20,"lab"
"254",1,2,"21","3206",0,"md_as_02","empathy","control",180,"lab"
"255",1,2,"22","2773",1,"md_as_02","empathy","control",120,"lab"
"256",1,2,"23","3082",1,"md_as_02","empathy","control",220,"lab"
"257",1,2,"24","2160",1,"md_as_02","empathy","control",160,"lab"
"258",1,2,"25","2354",1,"md_as_02","empathy","control",160,"lab"
"259",1,2,"26","2278",0,"md_as_02","empathy","control",100,"lab"
"260",1,2,"27","1670",1,"md_as_02","empathy","control",240,"lab"
"261",1,2,"28","1344",1,"md_as_02","empathy","control",180,"lab"
"262",1,2,"29","1778",1,"md_as_02","empathy","control",320,"lab"
"263",1,2,"30","1850",1,"md_as_02","empathy","control",300,"lab"
"264",1,2,"31","1794",1,"md_as_02","empathy","control",340,"lab"
"265",1,2,"32","1018",1,"md_as_02","empathy","control",360,"lab"
"266",1,2,"33","2587",0,"md_as_02","empathy","control",100,"lab"
"267",1,2,"34","1918",0,"md_as_02","empathy","control",20,"lab"
"268",1,3,"1","2774",1,"md_as_02","empathy","control",120,"lab"
"269",1,3,"2","1107",1,"md_as_02","empathy","control",320,"lab"
"270",1,3,"3","3551",0,"md_as_02","empathy","control",180,"lab"
"271",1,3,"4","1420",1,"md_as_02","empathy","control",360,"lab"
"272",1,3,"5","2065",1,"md_as_02","empathy","control",220,"lab"
