"","subj_idx","blockno","trialno","rt","response","id","motive","condition","other_poss_loss"
"84",0,3,16,1657,0,"md_as_13","reciprocity","treatment",60
"85",0,3,17,1256,1,"md_as_13","reciprocity","treatment",300
"86",0,3,18,1682,1,"md_as_13","reciprocity","treatment",380
"87",0,3,19,2005,0,"md_as_13","reciprocity","treatment",20
"88",0,3,20,1919,1,"md_as_13","reciprocity","treatment",340
"89",0,3,21,1839,1,"md_as_13","reciprocity","treatment",220
"90",0,3,22,2057,0,"md_as_13","reciprocity","treatment",160
"91",0,3,23,1924,1,"md_as_13","reciprocity","treatment",360
"92",0,3,24,2455,0,"md_as_13","reciprocity","treatment",100
"93",0,3,25,1779,0,"md_as_13","reciprocity","treatment",40
"94",0,3,26,1277,1,"md_as_13","reciprocity","treatment",340
"95",0,3,27,1398,1,"md_as_13","reciprocity","treatment",220
"96",0,3,28,1441,1,"md_as_13","reciprocity","treatment",380
"97",0,3,29,1635,1,"md_as_13","reciprocity","treatment",280
"98",0,3,30,1770,1,"md_as_13","reciprocity","treatment",320
"99",0,3,31,1785,0,"md_as_13","reciprocity","treatment",120
"100",0,3,32,1956,1,"md_as_13","reciprocity","treatment",360
"101",0,3,33,1393,1,"md_as_13","reciprocity","treatment",360
"102",0,3,34,1273,1,"md_as_13","reciprocity","treatment",240
"103",0,1,1,1616,0,"md_as_13","reciprocity","control",300
"104",0,1,2,1321,1,"md_as_13","reciprocity","control",360
"105",0,1,3,1362,0,"md_as_13","reciprocity","control",240
"106",0,1,4,2140,1,"md_as_13","reciprocity","control",220
"107",0,1,5,1314,1,"md_as_13","reciprocity","control",380
"108",0,1,6,1861,0,"md_as_13","reciprocity","control",40
"109",0,1,7,1892,1,"md_as_13","reciprocity","control",60
"110",0,1,8,1228,1,"md_as_13","reciprocity","control",180
"111",0,1,9,1801,0,"md_as_13","reciprocity","control",60
"112",0,1,10,1500,1,"md_as_13","reciprocity","control",340
"113",0,1,11,1004,1,"md_as_13","reciprocity","control",20
"114",0,1,12,1058,1,"md_as_13","reciprocity","control",120
"115",0,1,13,1704,1,"md_as_13","reciprocity","control",360
"116",0,1,14,1925,1,"md_as_13","reciprocity","control",180
"117",0,1,15,1661,1,"md_as_13","reciprocity","control",380
"118",0,1,16,1224,0,"md_as_13","reciprocity","control",380
"119",0,1,17,2256,0,"md_as_13","reciprocity","control",220
"120",0,1,18,1602,1,"md_as_13","reciprocity","control",20
"121",0,1,19,1468,0,"md_as_13","reciprocity","control",120
"122",0,1,20,2102,0,"md_as_13","reciprocity","control",240
"123",0,1,21,1449,1,"md_as_13","reciprocity","control",280
"124",0,1,22,1153,1,"md_as_13","reciprocity","control",380
"125",0,1,23,1856,0,"md_as_13","reciprocity","control",100
"126",0,1,24,2122,1,"md_as_13","reciprocity","control",160
"127",0,1,25,2587,0,"md_as_13","reciprocity","control",160
"128",0,1,26,1909,1,"md_as_13","reciprocity","control",280
"129",0,1,27,1569,1,"md_as_13","reciprocity","control",340
"130",0,1,28,1828,1,"md_as_13","reciprocity","control",320
"131",0,1,29,1607,0,"md_as_13","reciprocity","control",320
"132",0,1,30,1614,1,"md_as_13","reciprocity","control",100
"133",0,1,31,1221,1,"md_as_13","reciprocity","control",360
"134",0,1,32,1996,1,"md_as_13","reciprocity","control",300
"135",0,1,33,1879,0,"md_as_13","reciprocity","control",40
"136",0,1,34,1807,1,"md_as_13","reciprocity","control",360
"137",0,2,1,1705,1,"md_as_13","reciprocity","control",300
"138",0,2,2,1831,1,"md_as_13","reciprocity","control",360
"139",0,2,3,1384,1,"md_as_13","reciprocity","control",240
"140",0,2,4,1629,1,"md_as_13","reciprocity","control",220
"141",0,2,5,1032,1,"md_as_13","reciprocity","control",380
"142",0,2,6,1904,0,"md_as_13","reciprocity","control",40
"143",0,2,7,1297,1,"md_as_13","reciprocity","control",60
"144",0,2,8,1462,1,"md_as_13","reciprocity","control",180
"145",0,2,9,1407,0,"md_as_13","reciprocity","control",60
"146",0,2,10,2216,1,"md_as_13","reciprocity","control",340
"147",0,2,11,1766,1,"md_as_13","reciprocity","control",20
"148",0,2,12,1849,0,"md_as_13","reciprocity","control",120
"149",0,2,13,1542,1,"md_as_13","reciprocity","control",360
"150",0,2,14,1482,0,"md_as_13","reciprocity","control",180
"151",0,2,15,1246,1,"md_as_13","reciprocity","control",380
"152",0,2,16,1332,0,"md_as_13","reciprocity","control",380
"153",0,2,17,1525,1,"md_as_13","reciprocity","control",220
"154",0,2,18,1991,0,"md_as_13","reciprocity","control",20
"155",0,2,19,1913,0,"md_as_13","reciprocity","control",120
"156",0,2,20,2071,0,"md_as_13","reciprocity","control",240
"157",0,2,21,1549,1,"md_as_13","reciprocity","control",280
"158",0,2,22,1427,1,"md_as_13","reciprocity","control",380
"159",0,2,23,1835,0,"md_as_13","reciprocity","control",100
"160",0,2,24,1940,1,"md_as_13","reciprocity","control",160
"161",0,2,25,2037,1,"md_as_13","reciprocity","control",160
"162",0,2,26,1499,1,"md_as_13","reciprocity","control",280
"163",0,2,27,1554,1,"md_as_13","reciprocity","control",340
"164",0,2,28,1723,1,"md_as_13","reciprocity","control",320
"165",0,2,29,1556,1,"md_as_13","reciprocity","control",320
"166",0,2,30,2430,1,"md_as_13","reciprocity","control",100
"167",0,2,31,2145,1,"md_as_13","reciprocity","control",360
"168",0,2,32,2130,1,"md_as_13","reciprocity","control",300
"169",0,2,33,1377,1,"md_as_13","reciprocity","control",40
"170",0,2,34,1161,1,"md_as_13","reciprocity","control",360
"171",0,3,1,1431,0,"md_as_13","reciprocity","control",100
"172",0,3,2,1156,0,"md_as_13","reciprocity","control",300
"173",0,3,3,1995,1,"md_as_13","reciprocity","control",120
"174",0,3,4,1113,1,"md_as_13","reciprocity","control",180
"175",0,3,5,1511,0,"md_as_13","reciprocity","control",300
"176",0,3,6,1694,1,"md_as_13","reciprocity","control",280
"177",0,3,7,1544,0,"md_as_13","reciprocity","control",40
"178",0,3,8,1734,1,"md_as_13","reciprocity","control",360
"179",0,3,9,1597,0,"md_as_13","reciprocity","control",60
"180",0,3,10,1548,0,"md_as_13","reciprocity","control",380
"181",0,3,11,1919,0,"md_as_13","reciprocity","control",220
"182",0,3,12,1167,1,"md_as_13","reciprocity","control",380
"183",0,3,13,1798,0,"md_as_13","reciprocity","control",40
"184",0,3,14,1962,1,"md_as_13","reciprocity","control",360
"185",0,3,15,1313,1,"md_as_13","reciprocity","control",380
"186",0,3,16,1486,1,"md_as_13","reciprocity","control",360
"187",0,3,17,2233,0,"md_as_13","reciprocity","control",20
"188",0,3,18,1733,1,"md_as_13","reciprocity","control",320
"189",0,3,19,1887,1,"md_as_13","reciprocity","control",280
"190",0,3,20,2015,0,"md_as_13","reciprocity","control",20
"191",0,3,21,1524,1,"md_as_13","reciprocity","control",240
"192",0,3,22,1785,1,"md_as_13","reciprocity","control",120
"193",0,3,23,1203,0,"md_as_13","reciprocity","control",160
"194",0,3,24,1581,1,"md_as_13","reciprocity","control",100
"195",0,3,25,1617,1,"md_as_13","reciprocity","control",380
"196",0,3,26,1649,1,"md_as_13","reciprocity","control",360
"197",0,3,27,1580,1,"md_as_13","reciprocity","control",220
"198",0,3,28,2128,0,"md_as_13","reciprocity","control",60
"199",0,3,29,1558,1,"md_as_13","reciprocity","control",240
"200",0,3,30,1950,0,"md_as_13","reciprocity","control",340
"201",0,3,31,1529,1,"md_as_13","reciprocity","control",160
"202",0,3,32,1378,1,"md_as_13","reciprocity","control",340
"203",0,3,33,2073,1,"md_as_13","reciprocity","control",320
"204",0,3,34,1838,1,"md_as_13","reciprocity","control",180
"205",1,1,1,1837,0,"md_as_14","reciprocity","treatment",340
"206",1,1,2,2200,1,"md_as_14","reciprocity","treatment",360
"207",1,1,3,2776,1,"md_as_14","reciprocity","treatment",380
"208",1,1,4,1733,0,"md_as_14","reciprocity","treatment",320
"209",1,1,5,1731,1,"md_as_14","reciprocity","treatment",280
"210",1,1,6,1221,1,"md_as_14","reciprocity","treatment",280
"211",1,1,7,1443,0,"md_as_14","reciprocity","treatment",360
"212",1,1,8,1521,0,"md_as_14","reciprocity","treatment",380
"213",1,1,9,1282,1,"md_as_14","reciprocity","treatment",220
"214",1,1,10,3029,0,"md_as_14","reciprocity","treatment",160
"215",1,1,11,1302,1,"md_as_14","reciprocity","treatment",380
"216",1,1,12,2106,0,"md_as_14","reciprocity","treatment",180
"217",1,1,13,2008,1,"md_as_14","reciprocity","treatment",60
"218",1,1,14,1921,0,"md_as_14","reciprocity","treatment",120
"219",1,1,15,2030,1,"md_as_14","reciprocity","treatment",340
"220",1,1,16,2177,0,"md_as_14","reciprocity","treatment",40
"221",1,1,17,2568,1,"md_as_14","reciprocity","treatment",360
"222",1,1,18,1435,1,"md_as_14","reciprocity","treatment",360
"223",1,1,19,1349,1,"md_as_14","reciprocity","treatment",240
"224",1,1,20,1563,0,"md_as_14","reciprocity","treatment",160
"225",1,1,21,1373,1,"md_as_14","reciprocity","treatment",320
"226",1,1,22,2531,0,"md_as_14","reciprocity","treatment",20
"227",1,1,23,1978,0,"md_as_14","reciprocity","treatment",100
"228",1,1,24,1648,1,"md_as_14","reciprocity","treatment",300
"229",1,1,25,1616,1,"md_as_14","reciprocity","treatment",100
"230",1,1,26,2516,1,"md_as_14","reciprocity","treatment",220
"231",1,1,27,3085,1,"md_as_14","reciprocity","treatment",60
"232",1,1,28,889,0,"md_as_14","reciprocity","treatment",240
"233",1,1,29,1127,0,"md_as_14","reciprocity","treatment",300
"234",1,1,30,2215,1,"md_as_14","reciprocity","treatment",40
"235",1,1,31,1486,1,"md_as_14","reciprocity","treatment",120
"236",1,1,32,1190,1,"md_as_14","reciprocity","treatment",380
"237",1,1,33,2459,0,"md_as_14","reciprocity","treatment",20
"238",1,1,34,1623,1,"md_as_14","reciprocity","treatment",180
"239",1,2,1,2429,1,"md_as_14","reciprocity","treatment",340
"240",1,2,2,1717,1,"md_as_14","reciprocity","treatment",360
"241",1,2,3,1548,1,"md_as_14","reciprocity","treatment",380
"242",1,2,4,1629,0,"md_as_14","reciprocity","treatment",320
"243",1,2,5,1987,0,"md_as_14","reciprocity","treatment",280
"244",1,2,6,1126,1,"md_as_14","reciprocity","treatment",280
"245",1,2,7,1289,0,"md_as_14","reciprocity","treatment",360
"246",1,2,8,2018,0,"md_as_14","reciprocity","treatment",380
"247",1,2,9,1663,0,"md_as_14","reciprocity","treatment",220
"248",1,2,10,1308,1,"md_as_14","reciprocity","treatment",160
"249",1,2,11,1656,1,"md_as_14","reciprocity","treatment",380
"250",1,2,12,1067,0,"md_as_14","reciprocity","treatment",180
"251",1,2,13,1440,0,"md_as_14","reciprocity","treatment",60
"252",1,2,14,2040,1,"md_as_14","reciprocity","treatment",120
"253",1,2,15,1294,1,"md_as_14","reciprocity","treatment",340
"254",1,2,16,1267,1,"md_as_14","reciprocity","treatment",40
"255",1,2,17,1144,0,"md_as_14","reciprocity","treatment",360
"256",1,2,18,1355,1,"md_as_14","reciprocity","treatment",360
"257",1,2,19,977,1,"md_as_14","reciprocity","treatment",240
"258",1,2,20,1198,0,"md_as_14","reciprocity","treatment",160
"259",1,2,21,1534,0,"md_as_14","reciprocity","treatment",320
"260",1,2,22,987,1,"md_as_14","reciprocity","treatment",20
"261",1,2,23,1615,1,"md_as_14","reciprocity","treatment",100
"262",1,2,24,1341,1,"md_as_14","reciprocity","treatment",300
"263",1,2,25,1281,1,"md_as_14","reciprocity","treatment",100
"264",1,2,26,1059,1,"md_as_14","reciprocity","treatment",220
"265",1,2,27,1958,0,"md_as_14","reciprocity","treatment",60
"266",1,2,28,1418,1,"md_as_14","reciprocity","treatment",240
"267",1,2,29,944,0,"md_as_14","reciprocity","treatment",300
