"","subj_idx","blockno","trialno","rt","response","id","motive","condition","other_poss_gain"
"93",0,3,25,494,0,"md_as_12","reciprocity","control",180
"94",0,3,26,630,0,"md_as_12","reciprocity","control",360
"95",0,3,27,427,0,"md_as_12","reciprocity","control",40
"96",0,3,28,505,0,"md_as_12","reciprocity","control",340
"97",0,3,29,468,0,"md_as_12","reciprocity","control",360
"98",0,3,30,485,0,"md_as_12","reciprocity","control",240
"99",0,3,31,600,0,"md_as_12","reciprocity","control",240
"100",0,3,32,489,0,"md_as_12","reciprocity","control",60
"101",0,3,33,465,0,"md_as_12","reciprocity","control",120
"102",0,3,34,467,0,"md_as_12","reciprocity","control",180
"103",0,1,1,801,0,"md_as_12","reciprocity","decay",300
"104",0,1,2,517,0,"md_as_12","reciprocity","decay",180
"105",0,1,3,611,0,"md_as_12","reciprocity","decay",240
"106",0,1,4,489,0,"md_as_12","reciprocity","decay",120
"107",0,1,5,593,0,"md_as_12","reciprocity","decay",180
"108",0,1,6,669,0,"md_as_12","reciprocity","decay",340
"109",0,1,7,542,0,"md_as_12","reciprocity","decay",380
"110",0,1,8,748,0,"md_as_12","reciprocity","decay",100
"111",0,1,9,591,1,"md_as_12","reciprocity","decay",340
"112",0,1,10,498,0,"md_as_12","reciprocity","decay",100
"113",0,1,11,506,0,"md_as_12","reciprocity","decay",160
"114",0,1,12,477,0,"md_as_12","reciprocity","decay",220
"115",0,1,13,579,0,"md_as_12","reciprocity","decay",40
"116",0,1,14,603,1,"md_as_12","reciprocity","decay",220
"117",0,1,15,541,0,"md_as_12","reciprocity","decay",300
"118",0,1,16,581,0,"md_as_12","reciprocity","decay",20
"119",0,1,17,486,0,"md_as_12","reciprocity","decay",360
"120",0,1,18,694,0,"md_as_12","reciprocity","decay",40
"121",0,1,19,451,0,"md_as_12","reciprocity","decay",280
"122",0,1,20,555,0,"md_as_12","reciprocity","decay",380
"123",0,1,21,501,0,"md_as_12","reciprocity","decay",60
"124",0,1,22,616,0,"md_as_12","reciprocity","decay",360
"125",0,1,23,576,0,"md_as_12","reciprocity","decay",280
"126",0,1,24,564,0,"md_as_12","reciprocity","decay",60
"127",0,1,25,581,0,"md_as_12","reciprocity","decay",320
"128",0,1,26,722,0,"md_as_12","reciprocity","decay",360
"129",0,1,27,760,0,"md_as_12","reciprocity","decay",320
"130",0,1,28,557,1,"md_as_12","reciprocity","decay",380
"131",0,1,29,527,0,"md_as_12","reciprocity","decay",160
"132",0,1,30,846,0,"md_as_12","reciprocity","decay",20
"133",0,1,31,664,0,"md_as_12","reciprocity","decay",380
"134",0,1,32,602,0,"md_as_12","reciprocity","decay",120
"135",0,1,33,793,0,"md_as_12","reciprocity","decay",360
"136",0,1,34,577,0,"md_as_12","reciprocity","decay",240
"137",0,2,1,666,1,"md_as_12","reciprocity","decay",300
"138",0,2,2,563,0,"md_as_12","reciprocity","decay",180
"139",0,2,3,512,0,"md_as_12","reciprocity","decay",240
"140",0,2,4,549,0,"md_as_12","reciprocity","decay",120
"141",0,2,5,486,0,"md_as_12","reciprocity","decay",180
"142",0,2,6,592,0,"md_as_12","reciprocity","decay",340
"143",0,2,7,657,0,"md_as_12","reciprocity","decay",380
"144",0,2,8,949,0,"md_as_12","reciprocity","decay",100
"145",0,2,9,542,0,"md_as_12","reciprocity","decay",340
"146",0,2,10,567,0,"md_as_12","reciprocity","decay",100
"147",0,2,11,493,0,"md_as_12","reciprocity","decay",160
"148",0,2,12,526,0,"md_as_12","reciprocity","decay",220
"149",0,2,13,513,0,"md_as_12","reciprocity","decay",40
"150",0,2,14,707,0,"md_as_12","reciprocity","decay",220
"151",0,2,15,505,0,"md_as_12","reciprocity","decay",300
"152",0,2,16,523,0,"md_as_12","reciprocity","decay",20
"153",0,2,17,452,0,"md_as_12","reciprocity","decay",360
"154",0,2,18,714,0,"md_as_12","reciprocity","decay",40
"155",0,2,19,542,0,"md_as_12","reciprocity","decay",280
"156",0,2,20,616,0,"md_as_12","reciprocity","decay",380
"157",0,2,21,567,0,"md_as_12","reciprocity","decay",60
"158",0,2,22,604,0,"md_as_12","reciprocity","decay",360
"159",0,2,23,573,0,"md_as_12","reciprocity","decay",280
"160",0,2,24,649,0,"md_as_12","reciprocity","decay",60
"161",0,2,25,509,0,"md_as_12","reciprocity","decay",320
"162",0,2,26,822,1,"md_as_12","reciprocity","decay",360
"163",0,2,27,482,0,"md_as_12","reciprocity","decay",320
"164",0,2,28,638,1,"md_as_12","reciprocity","decay",380
"165",0,2,29,554,0,"md_as_12","reciprocity","decay",160
"166",0,2,30,480,0,"md_as_12","reciprocity","decay",20
"167",0,2,31,670,0,"md_as_12","reciprocity","decay",380
"168",0,2,32,596,0,"md_as_12","reciprocity","decay",120
"169",0,2,33,675,0,"md_as_12","reciprocity","decay",360
"170",0,2,34,649,0,"md_as_12","reciprocity","decay",240
"171",0,3,1,887,0,"md_as_12","reciprocity","decay",380
"172",0,3,2,946,0,"md_as_12","reciprocity","decay",380
"173",0,3,3,799,0,"md_as_12","reciprocity","decay",240
"174",0,3,4,614,0,"md_as_12","reciprocity","decay",320
"175",0,3,5,578,0,"md_as_12","reciprocity","decay",100
"176",0,3,6,722,1,"md_as_12","reciprocity","decay",40
"177",0,3,7,558,0,"md_as_12","reciprocity","decay",360
"178",0,3,8,785,0,"md_as_12","reciprocity","decay",60
"179",0,3,9,478,0,"md_as_12","reciprocity","decay",220
"180",0,3,10,706,1,"md_as_12","reciprocity","decay",240
"181",0,3,11,530,0,"md_as_12","reciprocity","decay",100
"182",0,3,12,811,0,"md_as_12","reciprocity","decay",220
"183",0,3,13,571,0,"md_as_12","reciprocity","decay",160
"184",0,3,14,795,0,"md_as_12","reciprocity","decay",340
"185",0,3,15,472,0,"md_as_12","reciprocity","decay",360
"186",0,3,16,516,0,"md_as_12","reciprocity","decay",20
"187",0,3,17,689,0,"md_as_12","reciprocity","decay",180
"188",0,3,18,707,0,"md_as_12","reciprocity","decay",180
"189",0,3,19,941,0,"md_as_12","reciprocity","decay",380
"190",0,3,20,778,0,"md_as_12","reciprocity","decay",320
"191",0,3,21,777,1,"md_as_12","reciprocity","decay",360
"192",0,3,22,635,0,"md_as_12","reciprocity","decay",380
"193",0,3,23,668,0,"md_as_12","reciprocity","decay",280
"194",0,3,24,832,0,"md_as_12","reciprocity","decay",300
"195",0,3,25,629,0,"md_as_12","reciprocity","decay",160
"196",0,3,26,672,0,"md_as_12","reciprocity","decay",20
"197",0,3,27,574,0,"md_as_12","reciprocity","decay",280
"198",0,3,28,700,1,"md_as_12","reciprocity","decay",360
"199",0,3,29,591,0,"md_as_12","reciprocity","decay",300
"200",0,3,30,525,0,"md_as_12","reciprocity","decay",40
"201",0,3,31,559,0,"md_as_12","reciprocity","decay",340
"202",0,3,32,514,0,"md_as_12","reciprocity","decay",60
"203",0,3,33,562,0,"md_as_12","reciprocity","decay",120
"204",0,3,34,918,0,"md_as_12","reciprocity","decay",120
"205",1,1,1,1049,0,"md_as_13","reciprocity","decay",160
"206",1,1,2,1407,0,"md_as_13","reciprocity","decay",120
"207",1,1,3,1685,0,"md_as_13","reciprocity","decay",120
"208",1,1,4,1087,0,"md_as_13","reciprocity","decay",20
"209",1,1,5,1098,1,"md_as_13","reciprocity","decay",320
"210",1,1,6,1577,1,"md_as_13","reciprocity","decay",300
"211",1,1,7,1088,1,"md_as_13","reciprocity","decay",380
"212",1,1,8,881,1,"md_as_13","reciprocity","decay",380
"213",1,1,9,1450,1,"md_as_13","reciprocity","decay",40
"214",1,1,10,883,1,"md_as_13","reciprocity","decay",300
"215",1,1,11,1499,0,"md_as_13","reciprocity","decay",380
"216",1,1,12,1677,0,"md_as_13","reciprocity","decay",180
"217",1,1,13,921,1,"md_as_13","reciprocity","decay",280
"218",1,1,14,1552,0,"md_as_13","reciprocity","decay",20
"219",1,1,15,1478,0,"md_as_13","reciprocity","decay",100
"220",1,1,16,917,1,"md_as_13","reciprocity","decay",340
"221",1,1,17,1060,1,"md_as_13","reciprocity","decay",360
"222",1,1,18,1618,1,"md_as_13","reciprocity","decay",320
"223",1,1,19,1103,1,"md_as_13","reciprocity","decay",100
"224",1,1,20,1117,1,"md_as_13","reciprocity","decay",220
"225",1,1,21,1660,0,"md_as_13","reciprocity","decay",220
"226",1,1,22,2034,0,"md_as_13","reciprocity","decay",360
"227",1,1,23,1839,0,"md_as_13","reciprocity","decay",240
"228",1,1,24,918,1,"md_as_13","reciprocity","decay",380
"229",1,1,25,1469,1,"md_as_13","reciprocity","decay",340
"230",1,1,26,1654,1,"md_as_13","reciprocity","decay",360
"231",1,1,27,917,1,"md_as_13","reciprocity","decay",240
"232",1,1,28,1493,1,"md_as_13","reciprocity","decay",160
"233",1,1,29,977,1,"md_as_13","reciprocity","decay",360
"234",1,1,30,1826,0,"md_as_13","reciprocity","decay",60
"235",1,1,31,2407,0,"md_as_13","reciprocity","decay",280
"236",1,1,32,1518,0,"md_as_13","reciprocity","decay",60
"237",1,1,33,1202,1,"md_as_13","reciprocity","decay",180
"238",1,1,34,1555,0,"md_as_13","reciprocity","decay",40
"239",1,2,1,1288,1,"md_as_13","reciprocity","decay",160
"240",1,2,2,1784,0,"md_as_13","reciprocity","decay",120
"241",1,2,3,1468,0,"md_as_13","reciprocity","decay",120
"242",1,2,4,2227,0,"md_as_13","reciprocity","decay",20
"243",1,2,5,1185,1,"md_as_13","reciprocity","decay",320
"244",1,2,6,1821,1,"md_as_13","reciprocity","decay",300
