"","effect","id","regions","betas","measurement","measurement_value"
"69","initial","saulin_01_vp_11","mpfc",-0.54091,"z_init",0.151610264230934
"70","initial","saulin_01_vp_11","mpfc",-0.54091,"z_sust",-0.522220756414767
"71","initial","saulin_01_vp_12","TPJ",-0.14712,"EC",0.017178151179905
"72","initial","saulin_01_vp_12","TPJ",-0.14712,"PT",-0.771835598880183
"73","initial","saulin_01_vp_12","TPJ",-0.14712,"z_int",0.0614761107503813
"74","initial","saulin_01_vp_12","TPJ",-0.14712,"z_init",0.1274998256507
"75","initial","saulin_01_vp_12","TPJ",-0.14712,"z_sust",-0.292252395050647
"76","initial","saulin_01_vp_12","mpfc",-0.074748,"EC",0.017178151179905
"77","initial","saulin_01_vp_12","mpfc",-0.074748,"PT",-0.771835598880183
"78","initial","saulin_01_vp_12","mpfc",-0.074748,"z_int",0.0614761107503813
"79","initial","saulin_01_vp_12","mpfc",-0.074748,"z_init",0.1274998256507
"80","initial","saulin_01_vp_12","mpfc",-0.074748,"z_sust",-0.292252395050647
"81","initial","saulin_01_vp_14","TPJ",-0.89972,"EC",0.75583865191582
"82","initial","saulin_01_vp_14","TPJ",-0.89972,"PT",1.37929880170255
"83","initial","saulin_01_vp_14","TPJ",-0.89972,"z_int",-1.91261072815798
"84","initial","saulin_01_vp_14","TPJ",-0.89972,"z_init",-0.899616694224041
"85","initial","saulin_01_vp_14","TPJ",-0.89972,"z_sust",0.661176081879611
"86","initial","saulin_01_vp_14","mpfc",-0.77788,"EC",0.75583865191582
"87","initial","saulin_01_vp_14","mpfc",-0.77788,"PT",1.37929880170255
"88","initial","saulin_01_vp_14","mpfc",-0.77788,"z_int",-1.91261072815798
"89","initial","saulin_01_vp_14","mpfc",-0.77788,"z_init",-0.899616694224041
"90","initial","saulin_01_vp_14","mpfc",-0.77788,"z_sust",0.661176081879611
"91","initial","saulin_01_vp_15","TPJ",-0.14122,"EC",0.386508401547862
"92","initial","saulin_01_vp_15","TPJ",-0.14122,"PT",0.150079144226702
"93","initial","saulin_01_vp_15","TPJ",-0.14122,"z_int",0.460063479397723
"94","initial","saulin_01_vp_15","TPJ",-0.14122,"z_init",0.384433304958075
"95","initial","saulin_01_vp_15","TPJ",-0.14122,"z_sust",-0.0146082768593824
"96","initial","saulin_01_vp_15","mpfc",-1.0616,"EC",0.386508401547862
"97","initial","saulin_01_vp_15","mpfc",-1.0616,"PT",0.150079144226702
"98","initial","saulin_01_vp_15","mpfc",-1.0616,"z_int",0.460063479397723
"99","initial","saulin_01_vp_15","mpfc",-1.0616,"z_init",0.384433304958075
"100","initial","saulin_01_vp_15","mpfc",-1.0616,"z_sust",-0.0146082768593824
"101","initial","saulin_01_vp_17","TPJ",-0.13337,"EC",0.75583865191582
"102","initial","saulin_01_vp_17","TPJ",-0.13337,"PT",0.457384058595663
"103","initial","saulin_01_vp_17","TPJ",-0.13337,"z_int",-0.680693167478204
"104","initial","saulin_01_vp_17","TPJ",-0.13337,"z_init",0.0238151128182557
"105","initial","saulin_01_vp_17","TPJ",-0.13337,"z_sust",-0.627818257140421
"106","initial","saulin_01_vp_17","mpfc",0.32127,"EC",0.75583865191582
"107","initial","saulin_01_vp_17","mpfc",0.32127,"PT",0.457384058595663
"108","initial","saulin_01_vp_17","mpfc",0.32127,"z_int",-0.680693167478204
"109","initial","saulin_01_vp_17","mpfc",0.32127,"z_init",0.0238151128182557
"110","initial","saulin_01_vp_17","mpfc",0.32127,"z_sust",-0.627818257140421
"111","initial","saulin_01_vp_18","TPJ",-0.3733,"EC",0.386508401547862
"112","initial","saulin_01_vp_18","TPJ",-0.3733,"PT",-1.69375034198707
"113","initial","saulin_01_vp_18","TPJ",-0.3733,"z_int",-0.353341032819771
"114","initial","saulin_01_vp_18","TPJ",-0.3733,"z_init",-1.40067422962706
"115","initial","saulin_01_vp_18","TPJ",-0.3733,"z_sust",0.320102461707141
"116","initial","saulin_01_vp_18","mpfc",-1.0113,"EC",0.386508401547862
"117","initial","saulin_01_vp_18","mpfc",-1.0113,"PT",-1.69375034198707
"118","initial","saulin_01_vp_18","mpfc",-1.0113,"z_int",-0.353341032819771
"119","initial","saulin_01_vp_18","mpfc",-1.0113,"z_init",-1.40067422962706
"120","initial","saulin_01_vp_18","mpfc",-1.0113,"z_sust",0.320102461707141
"121","initial","saulin_01_vp_19","TPJ",-0.12008,"EC",0.017178151179905
"122","initial","saulin_01_vp_19","TPJ",-0.12008,"PT",1.07199388733359
"123","initial","saulin_01_vp_19","TPJ",-0.12008,"z_int",2.76454586352154
"124","initial","saulin_01_vp_19","TPJ",-0.12008,"z_init",2.44864780406641
"125","initial","saulin_01_vp_19","TPJ",-0.12008,"z_sust",-3.01438185393544
"126","initial","saulin_01_vp_19","mpfc",0.27036,"EC",0.017178151179905
"127","initial","saulin_01_vp_19","mpfc",0.27036,"PT",1.07199388733359
"128","initial","saulin_01_vp_19","mpfc",0.27036,"z_int",2.76454586352154
"129","initial","saulin_01_vp_19","mpfc",0.27036,"z_init",2.44864780406641
"130","initial","saulin_01_vp_19","mpfc",0.27036,"z_sust",-3.01438185393544
"131","initial","saulin_01_vp_20","TPJ",-0.24433,"EC",0.017178151179905
"132","initial","saulin_01_vp_20","TPJ",-0.24433,"PT",-0.15722577014226
"133","initial","saulin_01_vp_20","TPJ",-0.24433,"z_int",0.0218987930718948
"134","initial","saulin_01_vp_20","TPJ",-0.24433,"z_init",0.114532578129523
"135","initial","saulin_01_vp_20","TPJ",-0.24433,"z_sust",-0.287653693887691
"136","initial","saulin_01_vp_20","mpfc",-0.16585,"EC",0.017178151179905
"137","initial","saulin_01_vp_20","mpfc",-0.16585,"PT",-0.15722577014226
"138","initial","saulin_01_vp_20","mpfc",-0.16585,"z_int",0.0218987930718948
"139","initial","saulin_01_vp_20","mpfc",-0.16585,"z_init",0.114532578129523
"140","initial","saulin_01_vp_20","mpfc",-0.16585,"z_sust",-0.287653693887691
"141","initial","saulin_01_vp_21","TPJ",-0.0052552,"EC",0.017178151179905
"142","initial","saulin_01_vp_21","TPJ",-0.0052552,"PT",1.99390863044047
"143","initial","saulin_01_vp_21","TPJ",-0.0052552,"z_int",0.211135107070108
"144","initial","saulin_01_vp_21","TPJ",-0.0052552,"z_init",0.189600640906825
"145","initial","saulin_01_vp_21","TPJ",-0.0052552,"z_sust",1.15609985393384
"146","initial","saulin_01_vp_21","mpfc",-0.067897,"EC",0.017178151179905
"147","initial","saulin_01_vp_21","mpfc",-0.067897,"PT",1.99390863044047
"148","initial","saulin_01_vp_21","mpfc",-0.067897,"z_int",0.211135107070108
"149","initial","saulin_01_vp_21","mpfc",-0.067897,"z_init",0.189600640906825
"150","initial","saulin_01_vp_21","mpfc",-0.067897,"z_sust",1.15609985393384
"151","initial","saulin_01_vp_22","TPJ",1.4382,"EC",-0.352152099188052
"152","initial","saulin_01_vp_22","TPJ",1.4382,"PT",-0.15722577014226
"153","initial","saulin_01_vp_22","TPJ",1.4382,"z_int",0.522437728346215
"154","initial","saulin_01_vp_22","TPJ",1.4382,"z_init",-0.242839011801187
"155","initial","saulin_01_vp_22","TPJ",1.4382,"z_sust",0.717045166392349
"156","initial","saulin_01_vp_22","mpfc",0.43704,"EC",-0.352152099188052
"157","initial","saulin_01_vp_22","mpfc",0.43704,"PT",-0.15722577014226
"158","initial","saulin_01_vp_22","mpfc",0.43704,"z_int",0.522437728346215
"159","initial","saulin_01_vp_22","mpfc",0.43704,"z_init",-0.242839011801187
"160","initial","saulin_01_vp_22","mpfc",0.43704,"z_sust",0.717045166392349
"161","initial","saulin_01_vp_23","TPJ",0.028942,"EC",0.017178151179905
"162","initial","saulin_01_vp_23","TPJ",0.028942,"PT",-0.464530684511221
"163","initial","saulin_01_vp_23","TPJ",0.028942,"z_int",-0.181037953126473
"164","initial","saulin_01_vp_23","TPJ",0.028942,"z_init",0.565497174005212
"165","initial","saulin_01_vp_23","TPJ",0.028942,"z_sust",-0.862522574916119
"166","initial","saulin_01_vp_23","mpfc",0.38382,"EC",0.017178151179905
"167","initial","saulin_01_vp_23","mpfc",0.38382,"PT",-0.464530684511221
"168","initial","saulin_01_vp_23","mpfc",0.38382,"z_int",-0.181037953126473
"169","initial","saulin_01_vp_23","mpfc",0.38382,"z_init",0.565497174005212
"170","initial","saulin_01_vp_23","mpfc",0.38382,"z_sust",-0.862522574916119
"171","initial","saulin_01_vp_24","TPJ",0.47687,"EC",-3.30679410213171
"172","initial","saulin_01_vp_24","TPJ",0.47687,"PT",-0.464530684511221
"173","initial","saulin_01_vp_24","TPJ",0.47687,"z_int",-1.46321439666615
"174","initial","saulin_01_vp_24","TPJ",0.47687,"z_init",-0.771745681167881
"175","initial","saulin_01_vp_24","TPJ",0.47687,"z_sust",0.544111873609369
"176","initial","saulin_01_vp_24","mpfc",0.60106,"EC",-3.30679410213171
"177","initial","saulin_01_vp_24","mpfc",0.60106,"PT",-0.464530684511221
"178","initial","saulin_01_vp_24","mpfc",0.60106,"z_int",-1.46321439666615
"179","initial","saulin_01_vp_24","mpfc",0.60106,"z_init",-0.771745681167881
"180","initial","saulin_01_vp_24","mpfc",0.60106,"z_sust",0.544111873609369
"181","initial","saulin_01_vp_25","TPJ",0.67312,"EC",1.49449915265173
"182","initial","saulin_01_vp_25","TPJ",0.67312,"PT",0.457384058595663
"183","initial","saulin_01_vp_25","TPJ",0.67312,"z_int",0.494048047545187
"184","initial","saulin_01_vp_25","TPJ",0.67312,"z_init",-1.43026672610105
"185","initial","saulin_01_vp_25","TPJ",0.67312,"z_sust",-0.328884119143078
"186","initial","saulin_01_vp_25","mpfc",1.8185,"EC",1.49449915265173
"187","initial","saulin_01_vp_25","mpfc",1.8185,"PT",0.457384058595663
"188","initial","saulin_01_vp_25","mpfc",1.8185,"z_int",0.494048047545187
"189","initial","saulin_01_vp_25","mpfc",1.8185,"z_init",-1.43026672610105
"190","initial","saulin_01_vp_25","mpfc",1.8185,"z_sust",-0.328884119143078
"191","initial","saulin_01_vp_26","TPJ",-0.077513,"EC",0.75583865191582
"192","initial","saulin_01_vp_26","TPJ",-0.077513,"PT",1.07199388733359
"193","initial","saulin_01_vp_26","TPJ",-0.077513,"z_int",-0.262957787758452
"194","initial","saulin_01_vp_26","TPJ",-0.077513,"z_init",0.155506130909183
"195","initial","saulin_01_vp_26","TPJ",-0.077513,"z_sust",-0.853569330912077
"196","initial","saulin_01_vp_26","mpfc",0.15485,"EC",0.75583865191582
"197","initial","saulin_01_vp_26","mpfc",0.15485,"PT",1.07199388733359
"198","initial","saulin_01_vp_26","mpfc",0.15485,"z_int",-0.262957787758452
"199","initial","saulin_01_vp_26","mpfc",0.15485,"z_init",0.155506130909183
"200","initial","saulin_01_vp_26","mpfc",0.15485,"z_sust",-0.853569330912077
"201","initial","saulin_01_vp_27","TPJ",-0.073366,"EC",0.386508401547862
"202","initial","saulin_01_vp_27","TPJ",-0.073366,"PT",0.764688972964625
"203","initial","saulin_01_vp_27","TPJ",-0.073366,"z_int",0.378216377734313
"204","initial","saulin_01_vp_27","TPJ",-0.073366,"z_init",-0.199300772013502
"205","initial","saulin_01_vp_27","TPJ",-0.073366,"z_sust",0.467215756280695
"206","initial","saulin_01_vp_27","mpfc",-0.070197,"EC",0.386508401547862
"207","initial","saulin_01_vp_27","mpfc",-0.070197,"PT",0.764688972964625
"208","initial","saulin_01_vp_27","mpfc",-0.070197,"z_int",0.378216377734313
"209","initial","saulin_01_vp_27","mpfc",-0.070197,"z_init",-0.199300772013502
"210","initial","saulin_01_vp_27","mpfc",-0.070197,"z_sust",0.467215756280695
"211","initial","saulin_01_vp_29","TPJ",-0.35692,"EC",-1.82947310065988
"212","initial","saulin_01_vp_29","TPJ",-0.35692,"PT",-0.15722577014226
"213","initial","saulin_01_vp_29","TPJ",-0.35692,"z_int",-0.924372517921969
"214","initial","saulin_01_vp_29","TPJ",-0.35692,"z_init",-0.675343089067719
"215","initial","saulin_01_vp_29","TPJ",-0.35692,"z_sust",-0.174109905262021
"216","initial","saulin_01_vp_29","mpfc",0.54606,"EC",-1.82947310065988
"217","initial","saulin_01_vp_29","mpfc",0.54606,"PT",-0.15722577014226
"218","initial","saulin_01_vp_29","mpfc",0.54606,"z_int",-0.924372517921969
"219","initial","saulin_01_vp_29","mpfc",0.54606,"z_init",-0.675343089067719
"220","initial","saulin_01_vp_29","mpfc",0.54606,"z_sust",-0.174109905262021
"221","initial","saulin_01_vp_30","TPJ",0.25404,"EC",-1.09081259992397
"222","initial","saulin_01_vp_30","TPJ",0.25404,"PT",0.150079144226702
"223","initial","saulin_01_vp_30","TPJ",0.25404,"z_int",-0.630307598385625
"224","initial","saulin_01_vp_30","TPJ",0.25404,"z_init",-0.0246779035285929
"225","initial","saulin_01_vp_30","TPJ",0.25404,"z_sust",0.625085586853691
"226","initial","saulin_01_vp_30","mpfc",-0.12155,"EC",-1.09081259992397
"227","initial","saulin_01_vp_30","mpfc",-0.12155,"PT",0.150079144226702
"228","initial","saulin_01_vp_30","mpfc",-0.12155,"z_int",-0.630307598385625
"229","initial","saulin_01_vp_30","mpfc",-0.12155,"z_init",-0.0246779035285929
"230","initial","saulin_01_vp_30","mpfc",-0.12155,"z_sust",0.625085586853691
"231","initial","saulin_01_vp_31","TPJ",-0.22079,"EC",1.12516890228378
"232","initial","saulin_01_vp_31","TPJ",-0.22079,"PT",-0.464530684511221
"233","initial","saulin_01_vp_31","TPJ",-0.22079,"z_int",0.0223933725337113
"234","initial","saulin_01_vp_31","TPJ",-0.22079,"z_init",0.751528133601847
"235","initial","saulin_01_vp_31","TPJ",-0.22079,"z_sust",-0.0429380997057421
"236","initial","saulin_01_vp_31","mpfc",-0.24114,"EC",1.12516890228378
"237","initial","saulin_01_vp_31","mpfc",-0.24114,"PT",-0.464530684511221
"238","initial","saulin_01_vp_31","mpfc",-0.24114,"z_int",0.0223933725337113
"239","initial","saulin_01_vp_31","mpfc",-0.24114,"z_init",0.751528133601847
"240","initial","saulin_01_vp_31","mpfc",-0.24114,"z_sust",-0.0429380997057421
"241","initial","saulin_01_vp_32","TPJ",-0.080497,"EC",0.386508401547862
"242","initial","saulin_01_vp_32","TPJ",-0.080497,"PT",1.07199388733359
"243","initial","saulin_01_vp_32","TPJ",-0.080497,"z_int",-2.29899901339272
"244","initial","saulin_01_vp_32","TPJ",-0.080497,"z_init",-1.97444334052381
"245","initial","saulin_01_vp_32","TPJ",-0.080497,"z_sust",-0.939237350086775
"246","initial","saulin_01_vp_32","mpfc",-0.51131,"EC",0.386508401547862
"247","initial","saulin_01_vp_32","mpfc",-0.51131,"PT",1.07199388733359
"248","initial","saulin_01_vp_32","mpfc",-0.51131,"z_int",-2.29899901339272
"249","initial","saulin_01_vp_32","mpfc",-0.51131,"z_init",-1.97444334052381
"250","initial","saulin_01_vp_32","mpfc",-0.51131,"z_sust",-0.939237350086775
"251","initial","saulin_01_vp_33","TPJ",-0.52869,"EC",0.017178151179905
"252","initial","saulin_01_vp_33","TPJ",-0.52869,"PT",-0.15722577014226
"253","initial","saulin_01_vp_33","TPJ",-0.52869,"z_int",0.443570245300358
"254","initial","saulin_01_vp_33","TPJ",-0.52869,"z_init",-0.690850600849426
"255","initial","saulin_01_vp_33","TPJ",-0.52869,"z_sust",1.41559339143139
"256","initial","saulin_01_vp_33","mpfc",-0.2012,"EC",0.017178151179905
"257","initial","saulin_01_vp_33","mpfc",-0.2012,"PT",-0.15722577014226
"258","initial","saulin_01_vp_33","mpfc",-0.2012,"z_int",0.443570245300358
"259","initial","saulin_01_vp_33","mpfc",-0.2012,"z_init",-0.690850600849426
"260","initial","saulin_01_vp_33","mpfc",-0.2012,"z_sust",1.41559339143139
"261","initial","saulin_01_vp_34","TPJ",-1.1859,"EC",0.386508401547862
"262","initial","saulin_01_vp_34","TPJ",-1.1859,"PT",0.150079144226702
"263","initial","saulin_01_vp_34","TPJ",-1.1859,"z_int",-1.10790433724209
"264","initial","saulin_01_vp_34","TPJ",-1.1859,"z_init",-0.156641844423467
"265","initial","saulin_01_vp_34","TPJ",-1.1859,"z_sust",0.0731748667444452
"266","initial","saulin_01_vp_34","mpfc",-0.01183,"EC",0.386508401547862
"267","initial","saulin_01_vp_34","mpfc",-0.01183,"PT",0.150079144226702
"268","initial","saulin_01_vp_34","mpfc",-0.01183,"z_int",-1.10790433724209
"269","initial","saulin_01_vp_34","mpfc",-0.01183,"z_init",-0.156641844423467
"270","initial","saulin_01_vp_34","mpfc",-0.01183,"z_sust",0.0731748667444452
"271","initial","saulin_01_vp_35","TPJ",0.23252,"EC",-0.352152099188052
"272","initial","saulin_01_vp_35","TPJ",0.23252,"PT",0.150079144226702
"273","initial","saulin_01_vp_35","TPJ",0.23252,"z_int",-0.538252546238219
"274","initial","saulin_01_vp_35","TPJ",0.23252,"z_init",1.4279810164925
"275","initial","saulin_01_vp_35","TPJ",0.23252,"z_sust",-1.65606024727959
"276","initial","saulin_01_vp_35","mpfc",-0.18886,"EC",-0.352152099188052
"277","initial","saulin_01_vp_35","mpfc",-0.18886,"PT",0.150079144226702
"278","initial","saulin_01_vp_35","mpfc",-0.18886,"z_int",-0.538252546238219
"279","initial","saulin_01_vp_35","mpfc",-0.18886,"z_init",1.4279810164925
"280","initial","saulin_01_vp_35","mpfc",-0.18886,"z_sust",-1.65606024727959
"281","initial","saulin_01_vp_36","TPJ",1.3454,"EC",-0.72148234955601
"282","initial","saulin_01_vp_36","TPJ",1.3454,"PT",-0.464530684511221
"283","initial","saulin_01_vp_36","TPJ",1.3454,"z_int",0.805857815330619
"284","initial","saulin_01_vp_36","TPJ",1.3454,"z_init",0.292658664919077
"285","initial","saulin_01_vp_36","TPJ",1.3454,"z_sust",-0.0749907744055023
"286","initial","saulin_01_vp_36","mpfc",0.83124,"EC",-0.72148234955601
"287","initial","saulin_01_vp_36","mpfc",0.83124,"PT",-0.464530684511221
"288","initial","saulin_01_vp_36","mpfc",0.83124,"z_int",0.805857815330619
"289","initial","saulin_01_vp_36","mpfc",0.83124,"z_init",0.292658664919077
"290","initial","saulin_01_vp_36","mpfc",0.83124,"z_sust",-0.0749907744055023
"291","initial","saulin_01_vp_37","TPJ",-0.22234,"EC",0.75583865191582
"292","initial","saulin_01_vp_37","TPJ",-0.22234,"PT",1.68660371607151
"293","initial","saulin_01_vp_37","TPJ",-0.22234,"z_int",-0.773489202983219
"294","initial","saulin_01_vp_37","TPJ",-0.22234,"z_init",0.569025206866136
"295","initial","saulin_01_vp_37","TPJ",-0.22234,"z_sust",-0.0418941478690452
"296","initial","saulin_01_vp_37","mpfc",-0.28729,"EC",0.75583865191582
"297","initial","saulin_01_vp_37","mpfc",-0.28729,"PT",1.68660371607151
"298","initial","saulin_01_vp_37","mpfc",-0.28729,"z_int",-0.773489202983219
"299","initial","saulin_01_vp_37","mpfc",-0.28729,"z_init",0.569025206866136
"300","initial","saulin_01_vp_37","mpfc",-0.28729,"z_sust",-0.0418941478690452
"301","initial","saulin_01_vp_38","TPJ",0.88203,"EC",-0.72148234955601
"302","initial","saulin_01_vp_38","TPJ",0.88203,"PT",-0.464530684511221
"303","initial","saulin_01_vp_38","TPJ",0.88203,"z_int",1.10809547326699
"304","initial","saulin_01_vp_38","TPJ",0.88203,"z_init",0.275074547928036
"305","initial","saulin_01_vp_38","TPJ",0.88203,"z_sust",-0.641897269118103
"306","initial","saulin_01_vp_38","mpfc",0.16525,"EC",-0.72148234955601
